START DATE,team,game,wins_to_date,se,upper_ci_90,lower_ci_90,upper_ci_95,lower_ci_95,upper_ci_99,lower_ci_99
2026-09-18,CHW,154,64.85575,0.06706274649515467,64.96605840180588,64.74544159819412,64.98719056783484,64.72430943216516,65.02849218759869,64.68300781240131
2026-09-18,CIN,154,73.15865,0.06733755063975295,73.26941041439981,73.04788958560017,73.29062917406105,73.02667082593894,73.33210003616708,72.98519996383291
2026-09-18,CLE,154,72.6779,0.06749503951045525,72.78891946054,72.56688053945999,72.81018784657559,72.5456121534244,72.85175570061521,72.50404429938477
2026-09-18,COL,154,60.05815,0.06499680498384454,60.16506023041793,59.95123976958207,60.185541396878506,59.93075860312149,60.22557067491444,59.89072932508556
2026-09-18,DET,154,82.5939,0.06844704806943458,82.70648537527114,82.48131462472887,82.72805374906417,82.45974625093584,82.77020791215867,82.41759208784134
2026-09-18,HOU,154,78.91815,0.06812601989404897,79.03020733091249,78.8060926690875,79.05167454540239,78.7846254545976,79.09363099837725,78.74266900162274
2026-09-18,KCR,154,76.3017,0.0676839930237982,76.41303026141175,76.19036973858825,76.4343581886565,76.16904181134349,76.47604241261189,76.1273575873881
2026-09-18,LAA,154,66.711,0.06702655129072994,66.8212488659926,66.6007511340074,66.84236962653776,66.57963037346224,66.88364895493048,66.53835104506952
2026-09-18,LAD,154,94.39625,0.06529705186395547,94.50365409258767,94.28884590741232,94.52422986994999,94.26827013005,94.56444405962652,94.22805594037347
2026-09-18,MIA,154,68.9193,0.06754844568993236,69.03040730588803,68.80819269411198,69.05169252076394,68.78690747923608,69.09329326581732,68.74530673418269
2026-09-18,MIL,154,76.8437,0.06711358824549882,76.95409202904334,76.73330797095666,76.97524021583443,76.71215978416556,77.01657314726907,76.67082685273093
2026-09-18,MIN,154,74.6001,0.06767956135829553,74.71142297197068,74.48877702802932,74.73274950275173,74.46745049724827,74.77443099739803,74.42576900260197
2026-09-18,NYM,154,84.97805,0.06736308558208981,85.08885241564234,84.86724758435766,85.11007922162838,84.84602077837161,85.15156580981981,84.80453419018018
2026-09-18,NYY,154,83.91985,0.06733637953049913,84.03060848809652,83.80909151190347,84.0518268787291,83.78787312127089,84.09329701958954,83.74640298041045
2026-09-18,PHI,154,85.01405,0.0672662535549465,85.12469314113129,84.9034068588687,85.14588943434264,84.88221056565736,85.18731638704678,84.84078361295322
2026-09-18,PIT,154,75.50455,0.06820422681698521,75.61673596985334,75.39236403014665,75.63822782815468,75.3708721718453,75.68023244606108,75.3288675539389
2026-09-18,SDP,154,78.70595,0.06780884257846898,78.81748562065458,78.59441437934542,78.83885288928715,78.57304711071285,78.88061400375335,78.53128599624665
2026-09-18,SEA,154,83.48036089817516,0.07777770477013801,83.6082938379623,83.35242795838803,83.63280239832483,83.3279193980255,83.68070298928485,83.28001880706547
