Team,Mean Wins,Mean Losses,Max Wins,Min Wins,St.Dev,Win Division (%),Make Wild Card (%),Make Playoffs (%),Win League (%),Win WS (%),Division,date
NYY,92,70,127,49,10.129782199749904,36.95,36.95,73.89,17.98,9.88,AL East,2023-03-29 09:25:41.698171
OAK,68,94,116,32,10.085613130574222,1.69,3.72,5.4,0.43,0.14,AL West,2023-03-29 09:25:41.698171
PHI,85,77,128,48,10.252178136148766,17.29,33.48,50.78,6.88,3.4,NL East,2023-03-29 09:25:41.698171
PIT,74,88,111,37,10.212496205822433,8.73,9.0,17.72,1.48,0.5,NL Central,2023-03-29 09:25:41.698171
SDP,93,69,128,49,10.081028046103397,48.93,31.34,80.27,18.7,9.73,NL West,2023-03-29 09:25:41.698171
SEA,82,80,122,36,10.249129861146567,18.49,21.37,39.86,5.41,2.51,AL West,2023-03-29 09:25:41.698171
SFG,79,83,115,40,10.220325995934408,8.53,23.48,32.01,3.16,1.49,NL West,2023-03-29 09:25:41.698171
STL,87,75,124,44,10.229128027012363,45.66,16.74,62.41,9.79,4.72,NL Central,2023-03-29 09:25:41.698171
TBR,86,76,121,38,10.214657530794817,18.23,35.89,54.13,8.54,4.46,AL East,2023-03-29 09:25:41.698171
TEX,84,78,123,44,10.232756894560897,22.41,23.23,45.64,6.55,3.11,AL West,2023-03-29 09:25:41.698171
TOR,90,72,132,51,10.216005343492093,31.46,37.76,69.22,14.74,8.04,AL East,2023-03-29 09:25:41.698171
WSN,66,96,108,30,9.938649482458713,0.58,3.35,3.94,0.18,0.05,NL East,2023-03-29 09:25:41.698171
ARI,77,85,116,37,10.035545879849034,4.83,17.09,21.92,2.02,0.85,NL West,2023-04-04 16:48:22.102786
ATL,93,69,129,56,9.854347160918309,44.87,34.04,78.91,17.79,9.43,NL East,2023-04-04 16:48:22.102786
BAL,77,85,118,40,9.96075980205788,3.53,14.3,17.83,1.85,0.88,AL East,2023-04-04 16:48:22.102786
BOS,82,80,120,46,10.029432288798851,9.52,25.64,35.16,4.87,2.34,AL East,2023-04-04 16:48:22.102786
CHC,76,86,115,34,10.035707014493989,9.88,10.78,20.66,1.85,0.78,NL Central,2023-04-04 16:48:22.102786
CHW,81,81,121,42,10.047662801188546,18.75,15.17,33.91,4.31,1.94,AL Central,2023-04-04 16:48:22.102786
CIN,70,92,108,36,9.759746943979671,3.17,4.31,7.48,0.41,0.14,NL Central,2023-04-04 16:48:22.102786
CLE,86,76,121,45,9.929441682597574,34.44,18.35,52.79,7.83,3.61,AL Central,2023-04-04 16:48:22.102786
COL,66,96,106,29,9.688465947513103,0.44,3.08,3.52,0.22,0.1,NL West,2023-04-04 16:48:22.102786
DET,69,93,106,33,9.847368974695009,2.44,2.73,5.16,0.4,0.13,AL Central,2023-04-04 16:48:22.102786
HOU,88,74,125,49,9.892415313968408,33.78,24.55,58.33,11.34,5.8,AL West,2023-04-04 16:48:22.102786
KCR,70,92,111,31,9.912731071171304,3.01,3.74,6.74,0.5,0.14,AL Central,2023-04-04 16:48:22.102786
