Name,Team,ShortName,W,L,ERA,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,playerid,.,date
"<a href=""statss.aspx?playerid=17169&position=P"">José Castillo</a>",SDP,Padres,1,1,3.17036,0,31,0,1,,31.0,127,24,12,11,2,36,11,1,1,1.15408,10.5408,3.20429,3.28958,0.703316,0.282813,0.0859724,0.1968405917286873,,0.213426,0.289131,0.738778,2.99196,0.485448,0.395353,0.0,999.0,29,NL,José Castillo,17169,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=17611&position=P"">Taylor Clarke</a>",KCR,Royals,2,2,4.26004,0,56,1,15,,63.0,267,61,32,30,8,57,20,1,3,1.27901,8.23005,2.80539,2.93366,1.13844,0.214182,0.0730084,0.1411734074354171,,0.247056,0.29252,0.694644,3.99057,0.485382,-0.000357738,0.0,750.8699951171875,7,AL,Taylor Clarke,17611,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=13345&position=P"">Luis Cessa</a>",CIN,Reds,5,8,5.17625,18,23,0,1,,103.0,452,114,64,59,16,71,35,1,4,1.4555,6.21018,3.10581,1.99953,1.35858,0.156652,0.078344,0.0783075615763664,,0.27645,0.302124,0.671835,4.85913,0.484825,-0.182648,6.0,722.0,18,NL,Luis Cessa,13345,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=19618&position=P"">Jordan Hicks</a>",STL,Cardinals,3,2,3.41392,1,50,2,11,,55.0,233,46,22,21,3,52,26,1,4,1.31047,8.60847,4.26132,2.02014,0.515096,0.223584,0.110677,0.1129065155982971,,0.224711,0.287625,0.732667,3.60324,0.48465,0.677101,0.0,660.52001953125,28,NL,Jordan Hicks,19618,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=27463&position=P"">Garrett Crochet</a>",CHW,White Sox,1,1,3.43919,0,36,3,3,,37.0,153,30,15,14,3,39,13,1,2,1.18666,9.49104,3.28943,2.88531,0.799725,0.253146,0.0877362,0.1654101386666298,,0.218696,0.280426,0.726305,3.39142,0.484171,0.399814,0.0,732.0599975585938,4,AL,Garrett Crochet,27463,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=18519&position=P"">Phil Bickford</a>",LAD,Dodgers,2,1,3.83091,0,47,0,4,,47.0,195,39,21,20,6,53,15,1,2,1.17268,10.2042,2.96515,3.44138,1.15181,0.271264,0.0788243,0.1924401000142097,,0.221879,0.281748,0.71692,3.64652,0.483319,0.301639,0.0,999.0,22,NL,Phil Bickford,18519,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=19249&position=P"">Seranthony Domínguez</a>",PHI,Phillies,2,2,3.69011,0,64,12,8,,62.0,264,53,28,25,6,67,26,1,4,1.26048,9.72862,3.71413,2.61936,0.929657,0.254809,0.0972791,0.1575295180082321,,0.224866,0.2879,0.730157,3.70936,0.482488,0.366446,0.0,237.1600036621093,26,NL,Seranthony Domínguez,19249,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=22288&position=P"">Mason Englert</a>",DET,Tigers,1,1,3.84013,0,44,0,0,,49.0,205,43,23,21,6,50,15,1,3,1.19425,9.18384,2.84598,3.22696,1.05617,0.243093,0.0753319,0.1677609384059906,,0.229276,0.282591,0.709608,3.7015,0.480919,0.197856,0.0,744.8300170898438,6,AL,Mason Englert,22288,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=6655&position=P"">Craig Kimbrel</a>",PHI,Phillies,2,1,3.77974,0,59,11,8,,57.0,242,45,26,24,7,70,24,1,3,1.21077,11.0219,3.77533,2.91945,1.13791,0.29066,0.0995598,0.1911004334688186,,0.211933,0.279049,0.730808,3.7459,0.476188,0.309676,0.0,266.0599975585937,26,NL,Craig Kimbrel,6655,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=19200&position=P"">José Quijada</a>",LAA,Angels,2,1,3.60992,0,53,0,7,,52.0,218,40,22,21,6,64,24,1,3,1.22485,11.1453,4.09871,2.71922,1.05017,0.293514,0.10794,0.1855733171105384,,0.207286,0.276952,0.745283,3.67408,0.475356,0.464258,0.0,746.1199951171875,1,AL,José Quijada,19200,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=19871&position=P"">Tucker Davidson</a>",LAA,Angels,4,5,4.63944,10,32,0,1,,77.0,337,77,43,40,9,67,33,1,3,1.44183,7.87819,3.93239,2.00341,1.10662,0.19905,0.0993557,0.0996942520141601,,0.256372,0.301892,0.692174,4.39406,0.474441,0.134069,3.0,699.8400268554688,1,AL,Tucker Davidson,19871,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=20418&position=P"">Josh Fleming</a>",TBR,Rays,2,3,4.0149,6,17,0,1,,46.0,197,48,22,21,5,30,12,1,2,1.29946,5.91634,2.40439,2.46065,0.900645,0.154985,0.0629854,0.0919994637370109,,0.261988,0.292894,0.70333,4.00233,0.467852,0.479417,1.0,701.7999877929688,12,AL,Josh Fleming,20418,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=13580&position=P"">Steven Okert</a>",MIA,Marlins,2,2,3.93928,0,54,1,10,,52.0,221,45,25,23,7,62,19,1,3,1.21695,10.6188,3.20266,3.3156,1.19126,0.278449,0.0839813,0.1944672837853431,,0.225435,0.290622,0.718742,3.72601,0.465806,0.14774,0.0,750.8300170898438,20,NL,Steven Okert,13580,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=7146&position=P"">Daniel Hudson</a>",LAD,Dodgers,2,1,3.77023,0,47,12,7,,46.0,192,38,21,19,6,55,15,1,2,1.17028,10.6626,3.02353,3.52655,1.15328,0.283659,0.0804351,0.2032236829400062,,0.220191,0.285185,0.723451,3.57129,0.462133,0.248068,0.0,349.0199890136719,22,NL,Daniel Hudson,7146,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=10430&position=P"">Mychal Givens</a>",BAL,Orioles,2,2,3.99145,0,50,0,6,,51.0,215,45,24,22,6,54,18,1,3,1.24173,9.6701,3.23873,2.98577,1.05856,0.253666,0.0849582,0.1687076315283775,,0.230704,0.290541,0.707037,3.73213,0.448595,0.199482,0.0,730.5599975585938,2,AL,Mychal Givens,10430,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=21023&position=P"">Adrián Martínez</a>",OAK,Athletics,2,3,4.41169,5,29,0,1,,51.0,220,50,27,25,7,46,17,1,3,1.30007,8.03379,2.93938,2.73316,1.14249,0.20915,0.0765232,0.1326270028948784,,0.250122,0.294711,0.686096,4.1053,0.441609,0.1462,1.0,750.5,10,AL,Adrián Martínez,21023,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=27779&position=P"">Bryce Elder</a>",ATL,Braves,3,2,3.89086,4,26,0,1,,42.0,178,38,20,18,4,37,16,1,2,1.28779,8.03651,3.36573,2.38774,0.886096,0.209911,0.0879117,0.1219989359378814,,0.238849,0.287655,0.712555,3.8905,0.440193,0.339546,1.0,624.8800048828125,16,NL,Bryce Elder,27779,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=17092&position=P"">Domingo Acevedo</a>",OAK,Athletics,2,2,4.12073,0,58,3,12,,58.0,245,53,29,27,8,56,17,1,2,1.20807,8.61849,2.64601,3.25716,1.1854,0.228945,0.0702897,0.1586550995707512,,0.237572,0.283646,0.694599,3.915,0.438971,0.0478083,0.0,600.2999877929688,10,AL,Domingo Acevedo,17092,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=18064&position=P"">Phil Maton</a>",HOU,Astros,2,2,4.21084,0,57,0,10,,57.0,245,54,29,27,7,62,20,1,4,1.28737,9.83776,3.12522,3.14786,1.11555,0.254699,0.0809117,0.1737872585654258,,0.242362,0.306606,0.699714,3.77565,0.438437,-0.00533941,0.0,750.3599853515625,21,AL,Phil Maton,18064,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=19795&position=P"">Keegan Thompson</a>",CHC,Cubs,3,3,4.2969,4,45,0,11,,62.0,264,58,32,29,8,58,23,1,3,1.31378,8.48877,3.3894,2.5045,1.14419,0.219956,0.0878243,0.1321319043636322,,0.242941,0.29062,0.700763,4.17022,0.433516,0.150005,1.0,628.7999877929688,17,NL,Keegan Thompson,19795,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=17556&position=P"">Jimmy Herget</a>",LAA,Angels,3,2,4.16754,0,60,7,12,,64.0,273,58,32,30,8,64,23,2,3,1.25888,9.00894,3.15406,2.8563,1.10998,0.235256,0.082364,0.1528924107551574,,0.235873,0.287896,0.698131,3.92439,0.432482,0.0527638,0.0,359.17999267578125,1,AL,Jimmy Herget,17556,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=10591&position=P"">Scott Alexander</a>",SFG,Giants,2,2,3.74536,1,50,0,11,,48.0,207,50,22,20,3,35,16,1,2,1.36223,6.46451,2.9374,2.20076,0.557012,0.167459,0.0760914,0.0913673639297485,,0.264074,0.30994,0.712233,3.58051,0.427208,0.294127,0.0,999.0,30,NL,Scott Alexander,10591,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=13619&position=P"">Jakob Junis</a>",SFG,Giants,3,4,4.83783,5,50,0,9,,76.0,334,83,45,41,11,68,22,1,4,1.38123,8.05481,2.61448,3.08085,1.29569,0.205013,0.0665443,0.1384686529636383,,0.271295,0.317545,0.676618,4.22903,0.42567,-0.3899,1.0,666.02001953125,30,NL,Jakob Junis,13619,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=26108&position=P"">Andre Pallante</a>",STL,Cardinals,3,2,3.91562,2,53,1,15,,62.0,266,62,29,27,4,45,23,1,3,1.36013,6.48306,3.28235,1.97513,0.633616,0.167449,0.0847791,0.0826702564954757,,0.256175,0.298879,0.704846,3.83529,0.425445,0.362737,0.0,741.3900146484375,28,NL,Andre Pallante,26108,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=16647&position=P"">Ryan Thompson</a>",TBR,Rays,2,2,3.81041,0,51,1,10,,49.0,206,47,23,21,5,44,13,1,2,1.2114,7.96542,2.34004,3.40397,0.949178,0.211322,0.0620811,0.1492409482598304,,0.245339,0.292976,0.705031,3.64413,0.420659,0.197844,0.0,999.0,12,AL,Ryan Thompson,16647,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=23292&position=P"">Packy Naughton</a>",STL,Cardinals,1,1,3.77481,1,28,0,4,,34.0,142,33,15,14,3,29,9,1,1,1.2487,7.85908,2.374,3.31048,0.800191,0.207134,0.0625693,0.1445650607347488,,0.251243,0.302906,0.706005,3.40848,0.419278,0.29167,0.0,999.0,28,NL,Packy Naughton,23292,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=17192&position=P"">Jalen Beeks</a>",TBR,Rays,3,2,4.00829,2,52,3,14,,59.0,252,53,29,26,7,61,22,1,3,1.2799,9.30982,3.38407,2.75107,1.12558,0.242592,0.0881809,0.1544110625982284,,0.235606,0.290937,0.72139,3.95221,0.419064,0.199365,0.0,726.760009765625,12,AL,Jalen Beeks,17192,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=sa3008513&position=P"">Reese Olson</a>",DET,Tigers,2,2,4.23994,4,18,0,0,,35.0,148,33,18,16,4,32,13,1,2,1.31899,8.45856,3.31534,2.55134,0.996611,0.218779,0.0857507,0.1330283135175705,,0.245176,0.297124,0.69588,3.92793,0.418884,0.182692,1.0,999.0,6,AL,Reese Olson,sa3008513,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=19337&position=P"">Richard Lovelady</a>",ATL,Braves,1,1,3.26151,0,29,0,1,,29.0,123,27,12,11,2,27,8,1,1,1.20494,8.2007,2.55562,3.20888,0.561654,0.218516,0.0680971,0.1504184976220131,,0.239416,0.298824,0.725066,3.07074,0.416123,0.287489,0.0,750.280029296875,16,NL,Richard Lovelady,19337,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=10061&position=P"">Brooks Raley</a>",NYM,Mets,2,2,4.26179,1,54,5,13,,54.0,231,50,27,25,7,61,21,1,3,1.32119,10.1849,3.48462,2.92282,1.1567,0.261932,0.0896161,0.1723156571388244,,0.24113,0.308226,0.707534,3.86077,0.415648,0.0910629,0.0,638.5399780273438,25,NL,Brooks Raley,10061,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=16400&position=P"">Reynaldo López</a>",CHW,White Sox,2,2,4.22891,1,53,5,13,,59.0,249,54,30,28,8,56,17,1,3,1.21694,8.59222,2.66073,3.22927,1.29191,0.226422,0.0701154,0.1563064232468605,,0.23773,0.280052,0.697203,4.09209,0.413517,0.0480972,0.0,316.7099914550781,4,AL,Reynaldo López,16400,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=19753&position=P"">Jonathan Loáisiga</a>",NYY,Yankees,2,2,3.76235,0,54,3,12,,57.0,240,54,26,24,6,48,17,1,3,1.22502,7.4803,2.62392,2.85081,0.906221,0.198174,0.069515,0.1286593005061149,,0.242316,0.285155,0.71206,3.7843,0.412893,0.309707,0.0,546.489990234375,9,AL,Jonathan Loáisiga,19753,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=13435&position=P"">Pierce Johnson</a>",COL,Rockies,2,2,4.41701,0,53,1,14,,51.0,222,50,27,25,7,57,18,1,3,1.33446,10.0429,3.23714,3.10242,1.15445,0.257708,0.083067,0.174641415476799,,0.248601,0.316225,0.693378,3.77505,0.409788,-0.114711,0.0,726.0900268554688,19,NL,Pierce Johnson,13435,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=14295&position=P"">Wandy Peralta</a>",NYY,Yankees,2,2,3.59005,0,60,3,14,,59.0,248,54,26,24,5,49,19,1,2,1.24066,7.47632,2.93815,2.54457,0.824454,0.197709,0.0776985,0.1200108528137207,,0.23848,0.282569,0.725753,3.74655,0.409555,0.416852,0.0,740.97998046875,9,AL,Wandy Peralta,14295,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=20039&position=P"">Adrian Morejon</a>",SDP,Padres,2,2,4.08303,4,26,0,1,,43.0,180,40,21,19,5,39,13,1,2,1.24741,8.30683,2.77043,2.99839,1.15037,0.218484,0.0728671,0.1456169784069061,,0.242305,0.287158,0.707881,3.96847,0.409294,0.292619,1.0,705.0800170898438,29,NL,Adrian Morejon,20039,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=21513&position=P"">Thaddeus Ward</a>",WSN,Nationals,1,1,3.64454,0,40,0,0,,45.0,191,37,20,18,4,50,20,1,3,1.2644,10.0886,3.98651,2.53068,0.865807,0.263536,0.104136,0.1593998074531555,,0.219206,0.286633,0.730385,3.63943,0.40742,0.30011,0.0,740.989990234375,24,NL,Thaddeus Ward,21513,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=19531&position=P"">Jason Foley</a>",DET,Tigers,2,2,4.12039,0,60,2,12,,60.0,258,61,30,28,5,45,18,2,3,1.32397,6.68468,2.73583,2.44338,0.749215,0.173269,0.0709137,0.1023552939295768,,0.259603,0.301879,0.685925,3.78202,0.404995,0.0494569,0.0,733.8400268554688,6,AL,Jason Foley,19531,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=13649&position=P"">Clay Holmes</a>",NYY,Yankees,2,2,3.59978,0,60,25,5,,61.0,262,53,26,24,4,61,29,1,5,1.3382,8.99304,4.24452,2.11874,0.628357,0.232258,0.109621,0.1226371228694915,,0.230951,0.296946,0.729187,3.67148,0.404724,0.524294,0.0,93.29000091552734,9,AL,Clay Holmes,13649,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=20206&position=P"">Mike Baumann</a>",BAL,Orioles,1,1,3.83815,1,30,0,11,,39.0,168,35,18,17,4,38,16,1,2,1.3104,8.62496,3.75813,2.29501,0.823088,0.223868,0.0975456,0.1263228431344032,,0.233751,0.289327,0.718246,3.76828,0.403619,0.247101,0.0,748.9299926757812,2,AL,Mike Baumann,20206,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=19330&position=P"">Matt Festa</a>",SEA,Mariners,2,2,3.90044,0,50,0,7,,51.0,211,43,24,22,7,56,16,1,2,1.18337,10.0324,2.9142,3.44259,1.26177,0.266784,0.077495,0.1892888695001602,,0.22578,0.281863,0.723356,3.81925,0.402945,0.199482,0.0,750.8099975585938,11,AL,Matt Festa,19330,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=18548&position=P"">Sam Hentges</a>",CLE,Guardians,2,2,3.95367,0,49,0,7,,55.0,235,49,26,24,6,58,23,1,2,1.33308,9.5668,3.8499,2.48495,0.916522,0.247033,0.0994118,0.147621601819992,,0.236229,0.301205,0.7177,3.72223,0.398566,0.202758,0.0,750.260009765625,5,AL,Sam Hentges,18548,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=13346&position=P"">Hoby Milner</a>",MIL,Brewers,2,2,4.1004,0,60,1,11,,59.0,251,58,29,27,8,57,16,1,3,1.25007,8.73549,2.42929,3.59591,1.14463,0.22875,0.0636141,0.1651362031698227,,0.249979,0.302135,0.705643,3.79106,0.397665,0.101026,0.0,999.0,23,NL,Hoby Milner,13346,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=15047&position=P"">Austin Voth</a>",BAL,Orioles,3,3,4.80506,5,39,0,1,,61.0,265,63,35,32,9,54,20,1,3,1.36578,7.94284,2.90879,2.73063,1.33246,0.202669,0.0742205,0.1284484192728996,,0.261667,0.30284,0.681317,4.38258,0.396324,-0.157474,1.0,733.1599731445312,2,AL,Austin Voth,15047,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=18674&position=P"">Jake Woodford</a>",STL,Cardinals,3,4,4.59309,7,35,0,1,,67.0,294,70,37,34,7,44,24,1,4,1.39022,5.94888,3.192,1.86369,0.998006,0.151267,0.0811656,0.0701015219092369,,0.261799,0.290441,0.679364,4.47442,0.396275,0.0648028,2.0,672.219970703125,28,NL,Jake Woodford,18674,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=12718&position=P"">Adrian Houser</a>",MIL,Brewers,4,5,4.83453,10,29,0,1,,76.0,335,79,44,41,8,52,32,1,5,1.47236,6.19271,3.85875,1.60485,0.954662,0.155531,0.0969131,0.0586176961660385,,0.265281,0.298595,0.673873,4.58549,0.395588,-0.00199539,3.0,716.2899780273438,23,NL,Adrian Houser,12718,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=26079&position=P"">Beau Brieske</a>",DET,Tigers,2,4,4.52615,7,26,0,1,,55.0,235,54,30,28,8,41,16,1,2,1.28629,6.68024,2.68484,2.48813,1.30856,0.17367,0.0697994,0.103870652616024,,0.251337,0.27687,0.68627,4.54722,0.395051,0.142883,2.0,743.3800048828125,6,AL,Beau Brieske,26079,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=19309&position=P"">Trevor Richards</a>",TOR,Blue Jays,2,2,4.084,1,45,0,4,,50.0,212,44,25,23,7,56,19,1,2,1.25587,10.1802,3.35988,3.02994,1.2522,0.265958,0.0877766,0.1781816110014915,,0.230075,0.289757,0.720389,3.91036,0.394427,0.0922473,0.0,749.239990234375,14,AL,Trevor Richards,19309,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=20349&position=P"">Zack Kelly</a>",BOS,Red Sox,1,1,3.6593,0,32,0,10,,33.0,140,29,15,13,3,35,12,1,2,1.24904,9.61847,3.38105,2.84482,0.827384,0.252193,0.0886499,0.1635430455207824,,0.229413,0.295291,0.719807,3.46225,0.39442,0.18485,0.0,750.7899780273438,3,AL,Zack Kelly,20349,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=20353&position=P"">Steven Wilson</a>",SDP,Padres,2,2,3.90278,0,54,0,14,,55.0,231,45,26,24,8,61,20,1,3,1.18297,9.90842,3.32998,2.97552,1.26828,0.262547,0.0882355,0.1743112951517105,,0.215735,0.265999,0.724318,4.01722,0.394338,0.202753,0.0,999.0,29,NL,Steven Wilson,20353,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=15043&position=P"">Lou Trivino</a>",NYY,Yankees,2,1,3.75024,0,42,1,1,,40.0,170,35,18,17,4,41,15,1,2,1.26053,9.19942,3.40117,2.70478,0.848648,0.241215,0.089181,0.1520341783761978,,0.231845,0.293005,0.716822,3.58568,0.394288,0.243219,0.0,737.9000244140625,9,AL,Lou Trivino,15043,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=20185&position=P"">Zach Pop</a>",TOR,Blue Jays,1,1,3.46937,0,35,0,1,,37.0,153,34,15,14,2,28,10,1,2,1.22563,6.83241,2.58174,2.64643,0.559387,0.18105,0.0684127,0.112636961042881,,0.244058,0.289771,0.709513,3.44181,0.392466,0.399869,0.0,999.0,14,AL,Zach Pop,20185,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=3548&position=P"">Liam Hendriks</a>",CHW,White Sox,1,0,3.21131,0,19,0,1,,19.0,78,16,8,7,2,26,4,0,1,1.00375,11.9831,1.83399,6.53393,1.08231,0.332257,0.0508511,0.2814063616096973,,0.2122,0.29321,0.739334,2.72505,0.390547,0.173721,0.0,447.55999755859375,4,AL,Liam Hendriks,3548,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=27691&position=P"">Louie Varland</a>",MIN,Twins,1,1,3.94176,3,13,0,1,,25.0,106,23,12,11,3,25,7,0,1,1.22475,8.87637,2.63607,3.36727,1.03663,0.234205,0.0695532,0.1646513938903808,,0.240498,0.294484,0.706855,3.64664,0.390182,0.223051,1.0,744.6500244140625,8,AL,Louie Varland,27691,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=19362&position=P"">Keegan Akin</a>",BAL,Orioles,2,2,4.06179,0,50,1,16,,61.0,261,58,30,27,7,58,23,1,2,1.32008,8.58029,3.33544,2.57246,0.981718,0.221882,0.0862528,0.1356290057301521,,0.244081,0.297215,0.711972,3.84389,0.388371,0.102682,0.0,737.27001953125,2,AL,Keegan Akin,19362,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=25386&position=P"">Jhony Brito</a>",NYY,Yankees,2,2,3.70528,3,19,0,0,,29.0,120,27,13,12,3,22,7,0,1,1.16759,7.00109,2.11202,3.31488,0.93657,0.187804,0.0566548,0.1311489269137382,,0.241299,0.277741,0.706174,3.73703,0.388171,0.322103,1.0,999.0,9,AL,Jhony Brito,25386,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=21956&position=P"">Max Castillo</a>",KCR,Royals,2,2,4.36825,4,24,0,1,,42.0,180,42,22,20,5,34,14,1,2,1.33409,7.41216,3.01334,2.45978,1.04083,0.191078,0.0776809,0.1133973598480224,,0.254293,0.295488,0.689656,4.11022,0.384705,0.140521,1.0,999.0,7,AL,Max Castillo,21956,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=12857&position=P"">Shawn Armstrong</a>",TBR,Rays,2,2,4.04288,0,51,0,4,,54.0,231,49,27,24,7,55,18,1,3,1.24647,9.06486,3.05402,2.96817,1.08903,0.237345,0.0799634,0.1573816165328025,,0.235742,0.289041,0.70455,3.85796,0.384604,0.0445185,0.0,750.5800170898438,12,AL,Shawn Armstrong,12857,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=16561&position=P"">Austin Gomber</a>",COL,Rockies,5,9,5.5698,18,23,0,1,,111.0,493,128,74,68,19,85,37,1,4,1.49851,6.94339,3.02972,2.29176,1.55827,0.17302,0.0754966,0.0975237116217613,,0.284511,0.31497,0.661335,4.9458,0.382571,-0.660339,6.0,731.8900146484375,19,NL,Austin Gomber,16561,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=9073&position=P"">Kirby Yates</a>",ATL,Braves,2,1,3.82914,0,41,0,11,,38.0,160,33,18,16,5,47,12,1,2,1.1801,11.1191,2.908,3.82363,1.24242,0.294797,0.0770987,0.2176980152726173,,0.224913,0.295034,0.725851,3.57786,0.381445,0.136257,0.0,738.8300170898438,16,NL,Kirby Yates,9073,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=19459&position=P"">Jorge Alcala</a>",MIN,Twins,2,2,4.02057,0,47,0,6,,49.0,210,44,24,22,6,50,18,1,2,1.26279,9.14827,3.31008,2.76377,1.04045,0.23896,0.0864616,0.1524979844689369,,0.233255,0.288139,0.707869,3.83252,0.380616,0.0927921,0.0,726.3300170898438,8,AL,Jorge Alcala,19459,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=21461&position=P"">Cole Sands</a>",MIN,Twins,1,1,3.86713,0,30,0,4,,34.0,146,31,16,15,4,36,12,1,2,1.23157,9.28422,3.03498,3.05908,0.923054,0.244033,0.0797734,0.164259634912014,,0.233159,0.293076,0.704798,3.55679,0.379942,0.132993,0.0,999.0,8,AL,Cole Sands,21461,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=10233&position=P"">Aroldis Chapman</a>",KCR,Royals,2,2,3.80944,0,52,5,11,,48.0,209,39,22,20,4,56,26,1,3,1.34238,10.3603,4.78874,2.16347,0.796658,0.266462,0.123164,0.1432980448007583,,0.217118,0.289591,0.725091,3.72495,0.377838,0.249673,0.0,334.3800048828125,7,AL,Aroldis Chapman,10233,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=14542&position=P"">Carlos Estévez</a>",LAA,Angels,3,2,4.29046,0,63,16,8,,61.0,260,59,31,29,8,61,19,1,3,1.27563,9.00988,2.76778,3.25527,1.20585,0.234698,0.0720977,0.1626000478863716,,0.247234,0.299972,0.698097,3.90129,0.377814,-0.00205456,0.0,273.6600036621094,1,AL,Carlos Estévez,14542,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=21481&position=P"">Sean Hjelle</a>",SFG,Giants,2,2,4.19884,2,28,0,7,,39.0,172,42,20,18,3,32,14,1,3,1.42852,7.42601,3.14714,2.35961,0.686404,0.188269,0.0797881,0.1084806844592094,,0.271928,0.326998,0.696985,3.69944,0.374197,0.0882834,0.0,741.9600219726562,30,NL,Sean Hjelle,21481,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=15507&position=P"">Hunter Harvey</a>",WSN,Nationals,2,2,4.16011,0,57,4,13,,57.0,244,52,29,26,7,60,20,1,3,1.25984,9.42208,3.09395,3.04532,1.15223,0.245853,0.0807313,0.1651216223835945,,0.237359,0.293554,0.700956,3.87943,0.37393,-0.00533941,0.0,502.5499877929688,24,NL,Hunter Harvey,15507,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=21101&position=P"">Dauri Moreta</a>",PIT,Pirates,2,1,3.93831,0,41,0,6,,41.0,174,37,20,18,5,41,13,1,2,1.20776,8.85134,2.75749,3.20992,1.17214,0.233614,0.0727786,0.1608353182673454,,0.234038,0.281675,0.714293,3.91395,0.373725,0.0862053,0.0,750.719970703125,27,NL,Dauri Moreta,21101,,2023-04-05 10:14:21.279503
"<a href=""statss.aspx?playerid=17796&position=P"">Dillon Tate</a>",BAL,Orioles,2,1,3.7901,0,48,0,1,,51.0,215,49,23,21,5,42,14,1,3,1.237,7.40625,2.39768,3.08893,0.843228,0.195105,0.0631626,0.1319420859217643,,0.249979,0.295643,0.704744,3.68998,0.373537,0.304877,0.0,745.3499755859375,2,AL,Dillon Tate,17796,,2023-04-05 10:14:21.279503
