START DATE,away,home,SUBJECT,START TIME,datetime
2025-08-24,TOR,MIA,Blue Jays at Marlins,01:40 PM,2025-08-24 17:40:00+00:00
2025-08-25,MIN,TOR,Twins at Blue Jays,07:07 PM,2025-08-25 23:07:00+00:00
2025-08-26,MIN,TOR,Twins at Blue Jays,07:07 PM,2025-08-26 23:07:00+00:00
2025-08-27,MIN,TOR,Twins at Blue Jays,07:07 PM,2025-08-27 23:07:00+00:00
2025-08-29,MIL,TOR,Brewers at Blue Jays,07:07 PM,2025-08-29 23:07:00+00:00
2025-08-30,MIL,TOR,Brewers at Blue Jays,03:07 PM,2025-08-30 19:07:00+00:00
2025-08-31,MIL,TOR,Brewers at Blue Jays,01:37 PM,2025-08-31 17:37:00+00:00
2025-09-01,TOR,CIN,Blue Jays at Reds,01:10 PM,2025-09-01 17:10:00+00:00
2025-09-02,TOR,CIN,Blue Jays at Reds,06:40 PM,2025-09-02 22:40:00+00:00
2025-09-03,TOR,CIN,Blue Jays at Reds,06:40 PM,2025-09-03 22:40:00+00:00
2025-09-05,TOR,NYY,Blue Jays at Yankees,07:05 PM,2025-09-05 23:05:00+00:00
2025-09-06,TOR,NYY,Blue Jays at Yankees,01:05 PM,2025-09-06 17:05:00+00:00
2025-09-07,TOR,NYY,Blue Jays at Yankees,12:00 AM,2025-09-07 04:00:00+00:00
2025-09-09,HOU,TOR,Astros at Blue Jays,07:07 PM,2025-09-09 23:07:00+00:00
2025-09-10,HOU,TOR,Astros at Blue Jays,07:07 PM,2025-09-10 23:07:00+00:00
2025-09-11,HOU,TOR,Astros at Blue Jays,03:07 PM,2025-09-11 19:07:00+00:00
2025-09-12,BAL,TOR,Orioles at Blue Jays,07:07 PM,2025-09-12 23:07:00+00:00
2025-09-13,BAL,TOR,Orioles at Blue Jays,03:07 PM,2025-09-13 19:07:00+00:00
2025-09-14,BAL,TOR,Orioles at Blue Jays,01:37 PM,2025-09-14 17:37:00+00:00
2025-09-15,TOR,TBR,Blue Jays at Rays,12:00 AM,2025-09-15 04:00:00+00:00
2025-09-16,TOR,TBR,Blue Jays at Rays,12:00 AM,2025-09-16 04:00:00+00:00
2025-09-17,TOR,TBR,Blue Jays at Rays,12:00 AM,2025-09-17 04:00:00+00:00
2025-09-18,TOR,TBR,Blue Jays at Rays,12:00 AM,2025-09-18 04:00:00+00:00
2025-09-19,TOR,KCR,Blue Jays at Royals,07:40 PM,2025-09-19 23:40:00+00:00
2025-09-20,TOR,KCR,Blue Jays at Royals,07:10 PM,2025-09-20 23:10:00+00:00
2025-09-21,TOR,KCR,Blue Jays at Royals,02:10 PM,2025-09-21 18:10:00+00:00
2025-09-23,BOS,TOR,Red Sox at Blue Jays,07:07 PM,2025-09-23 23:07:00+00:00
2025-09-24,BOS,TOR,Red Sox at Blue Jays,07:07 PM,2025-09-24 23:07:00+00:00
2025-09-25,BOS,TOR,Red Sox at Blue Jays,07:07 PM,2025-09-25 23:07:00+00:00
2025-09-26,TBR,TOR,Rays at Blue Jays,07:07 PM,2025-09-26 23:07:00+00:00
2025-09-27,TBR,TOR,Rays at Blue Jays,03:07 PM,2025-09-27 19:07:00+00:00
2025-09-28,TBR,TOR,Rays at Blue Jays,03:07 PM,2025-09-28 19:07:00+00:00
2025-03-31,BOS,BAL,Red Sox at Orioles,03:05 PM,2025-03-31 19:05:00+00:00
2025-04-02,BOS,BAL,Red Sox at Orioles,06:35 PM,2025-04-02 22:35:00+00:00
2025-04-03,BOS,BAL,Red Sox at Orioles,01:05 PM,2025-04-03 17:05:00+00:00
2025-04-04,BAL,KCR,Orioles at Royals,07:40 PM,2025-04-04 23:40:00+00:00
2025-04-05,BAL,KCR,Orioles at Royals,04:10 PM,2025-04-05 20:10:00+00:00
2025-04-06,BAL,KCR,Orioles at Royals,02:10 PM,2025-04-06 18:10:00+00:00
2025-04-07,BAL,ARI,Orioles at D-backs,09:40 PM,2025-04-08 01:40:00+00:00
2025-04-08,BAL,ARI,Orioles at D-backs,09:40 PM,2025-04-09 01:40:00+00:00
2025-04-09,BAL,ARI,Orioles at D-backs,03:40 PM,2025-04-09 19:40:00+00:00
2025-04-15,CLE,BAL,Guardians at Orioles,06:35 PM,2025-04-15 22:35:00+00:00
2025-04-16,CLE,BAL,Guardians at Orioles,06:35 PM,2025-04-16 22:35:00+00:00
2025-04-17,CLE,BAL,Guardians at Orioles,06:35 PM,2025-04-17 22:35:00+00:00
2025-04-18,CIN,BAL,Reds at Orioles,07:05 PM,2025-04-18 23:05:00+00:00
2025-04-19,CIN,BAL,Reds at Orioles,04:05 PM,2025-04-19 20:05:00+00:00
2025-04-20,CIN,BAL,Reds at Orioles,01:35 PM,2025-04-20 17:35:00+00:00
2025-04-22,BAL,WSN,Orioles at Nationals,06:45 PM,2025-04-22 22:45:00+00:00
2025-04-23,BAL,WSN,Orioles at Nationals,06:45 PM,2025-04-23 22:45:00+00:00
2025-04-24,BAL,WSN,Orioles at Nationals,06:45 PM,2025-04-24 22:45:00+00:00
2025-04-25,BAL,DET,Orioles at Tigers,06:40 PM,2025-04-25 22:40:00+00:00
2025-04-26,BAL,DET,Orioles at Tigers,01:10 PM,2025-04-26 17:10:00+00:00
2025-04-27,BAL,DET,Orioles at Tigers,01:40 PM,2025-04-27 17:40:00+00:00
2025-04-28,NYY,BAL,Yankees at Orioles,06:35 PM,2025-04-28 22:35:00+00:00
2025-04-29,NYY,BAL,Yankees at Orioles,06:35 PM,2025-04-29 22:35:00+00:00
2025-04-30,NYY,BAL,Yankees at Orioles,06:35 PM,2025-04-30 22:35:00+00:00
2025-05-02,KCR,BAL,Royals at Orioles,07:05 PM,2025-05-02 23:05:00+00:00
2025-05-03,KCR,BAL,Royals at Orioles,07:15 PM,2025-05-03 23:15:00+00:00
2025-05-04,KCR,BAL,Royals at Orioles,01:35 PM,2025-05-04 17:35:00+00:00
2025-05-06,BAL,MIN,Orioles at Twins,07:40 PM,2025-05-06 23:40:00+00:00
2025-05-07,BAL,MIN,Orioles at Twins,07:40 PM,2025-05-07 23:40:00+00:00
2025-05-08,BAL,MIN,Orioles at Twins,01:10 PM,2025-05-08 17:10:00+00:00
2025-05-09,BAL,LAA,Orioles at Angels,09:38 PM,2025-05-10 01:38:00+00:00
2025-05-10,BAL,LAA,Orioles at Angels,09:38 PM,2025-05-11 01:38:00+00:00
2025-05-11,BAL,LAA,Orioles at Angels,04:07 PM,2025-05-11 20:07:00+00:00
2025-05-13,MIN,BAL,Twins at Orioles,06:35 PM,2025-05-13 22:35:00+00:00
2025-05-14,MIN,BAL,Twins at Orioles,06:35 PM,2025-05-14 22:35:00+00:00
2025-05-15,MIN,BAL,Twins at Orioles,12:35 PM,2025-05-15 16:35:00+00:00
2025-05-16,WSN,BAL,Nationals at Orioles,07:05 PM,2025-05-16 23:05:00+00:00
2025-05-17,WSN,BAL,Nationals at Orioles,04:05 PM,2025-05-17 20:05:00+00:00
2025-05-18,WSN,BAL,Nationals at Orioles,01:35 PM,2025-05-18 17:35:00+00:00
2025-05-19,BAL,MIL,Orioles at Brewers,07:40 PM,2025-05-19 23:40:00+00:00
2025-05-20,BAL,MIL,Orioles at Brewers,07:40 PM,2025-05-20 23:40:00+00:00
2025-05-21,BAL,MIL,Orioles at Brewers,01:10 PM,2025-05-21 17:10:00+00:00
2025-05-22,BAL,BOS,Orioles at Red Sox,06:45 PM,2025-05-22 22:45:00+00:00
2025-05-23,BAL,BOS,Orioles at Red Sox,07:10 PM,2025-05-23 23:10:00+00:00
2025-05-24,BAL,BOS,Orioles at Red Sox,04:10 PM,2025-05-24 20:10:00+00:00
2025-05-25,BAL,BOS,Orioles at Red Sox,01:35 PM,2025-05-25 17:35:00+00:00
2025-05-26,STL,BAL,Cardinals at Orioles,03:05 PM,2025-05-26 19:05:00+00:00
2025-05-27,STL,BAL,Cardinals at Orioles,06:35 PM,2025-05-27 22:35:00+00:00
2025-05-28,STL,BAL,Cardinals at Orioles,06:35 PM,2025-05-28 22:35:00+00:00
2025-05-30,CHW,BAL,White Sox at Orioles,07:05 PM,2025-05-30 23:05:00+00:00
2025-05-31,CHW,BAL,White Sox at Orioles,04:05 PM,2025-05-31 20:05:00+00:00
2025-06-01,CHW,BAL,White Sox at Orioles,01:35 PM,2025-06-01 17:35:00+00:00
2025-06-03,BAL,SEA,Orioles at Mariners,09:40 PM,2025-06-04 01:40:00+00:00
2025-06-04,BAL,SEA,Orioles at Mariners,09:40 PM,2025-06-05 01:40:00+00:00
2025-06-05,BAL,SEA,Orioles at Mariners,03:40 PM,2025-06-05 19:40:00+00:00
2025-06-06,BAL,ATH,Orioles at Athletics,10:05 PM,2025-06-07 02:05:00+00:00
2025-06-07,BAL,ATH,Orioles at Athletics,10:05 PM,2025-06-08 02:05:00+00:00
2025-06-08,BAL,ATH,Orioles at Athletics,04:05 PM,2025-06-08 20:05:00+00:00
2025-06-10,DET,BAL,Tigers at Orioles,06:35 PM,2025-06-10 22:35:00+00:00
2025-06-11,DET,BAL,Tigers at Orioles,06:35 PM,2025-06-11 22:35:00+00:00
2025-06-12,DET,BAL,Tigers at Orioles,06:35 PM,2025-06-12 22:35:00+00:00
2025-06-13,LAA,BAL,Angels at Orioles,07:05 PM,2025-06-13 23:05:00+00:00
2025-06-14,LAA,BAL,Angels at Orioles,04:05 PM,2025-06-14 20:05:00+00:00
2025-06-15,LAA,BAL,Angels at Orioles,01:35 PM,2025-06-15 17:35:00+00:00
2025-06-16,BAL,TBR,Orioles at Rays,12:00 AM,2025-06-16 04:00:00+00:00
2025-06-17,BAL,TBR,Orioles at Rays,12:00 AM,2025-06-17 04:00:00+00:00
2025-06-18,BAL,TBR,Orioles at Rays,12:00 AM,2025-06-18 04:00:00+00:00
2025-06-19,BAL,TBR,Orioles at Rays,12:00 AM,2025-06-19 04:00:00+00:00
2025-06-20,BAL,NYY,Orioles at Yankees,07:05 PM,2025-06-20 23:05:00+00:00
2025-06-21,BAL,NYY,Orioles at Yankees,01:05 PM,2025-06-21 17:05:00+00:00
2025-06-22,BAL,NYY,Orioles at Yankees,12:00 AM,2025-06-22 04:00:00+00:00
2025-06-23,TEX,BAL,Rangers at Orioles,06:35 PM,2025-06-23 22:35:00+00:00
2025-06-24,TEX,BAL,Rangers at Orioles,06:35 PM,2025-06-24 22:35:00+00:00
2025-06-25,TEX,BAL,Rangers at Orioles,06:35 PM,2025-06-25 22:35:00+00:00
2025-06-27,TBR,BAL,Rays at Orioles,07:05 PM,2025-06-27 23:05:00+00:00
2025-06-28,TBR,BAL,Rays at Orioles,04:05 PM,2025-06-28 20:05:00+00:00
2025-06-29,TBR,BAL,Rays at Orioles,01:35 PM,2025-06-29 17:35:00+00:00
2025-06-30,BAL,TEX,Orioles at Rangers,08:05 PM,2025-07-01 00:05:00+00:00
2025-07-01,BAL,TEX,Orioles at Rangers,08:05 PM,2025-07-02 00:05:00+00:00
2025-07-02,BAL,TEX,Orioles at Rangers,08:05 PM,2025-07-03 00:05:00+00:00
2025-07-04,BAL,ATL,Orioles at Braves,07:15 PM,2025-07-04 23:15:00+00:00
2025-07-05,BAL,ATL,Orioles at Braves,04:10 PM,2025-07-05 20:10:00+00:00
2025-07-06,BAL,ATL,Orioles at Braves,01:35 PM,2025-07-06 17:35:00+00:00
2025-07-08,NYM,BAL,Mets at Orioles,06:35 PM,2025-07-08 22:35:00+00:00
2025-07-09,NYM,BAL,Mets at Orioles,06:35 PM,2025-07-09 22:35:00+00:00
2025-07-10,NYM,BAL,Mets at Orioles,01:05 PM,2025-07-10 17:05:00+00:00
2025-07-11,MIA,BAL,Marlins at Orioles,07:05 PM,2025-07-11 23:05:00+00:00
2025-07-12,MIA,BAL,Marlins at Orioles,04:05 PM,2025-07-12 20:05:00+00:00
2025-07-13,MIA,BAL,Marlins at Orioles,01:35 PM,2025-07-13 17:35:00+00:00
2025-07-18,BAL,TBR,Orioles at Rays,12:00 AM,2025-07-18 04:00:00+00:00
2025-07-19,BAL,TBR,Orioles at Rays,12:00 AM,2025-07-19 04:00:00+00:00
2025-07-20,BAL,TBR,Orioles at Rays,12:00 AM,2025-07-20 04:00:00+00:00
2025-07-21,BAL,CLE,Orioles at Guardians,12:00 AM,2025-07-21 04:00:00+00:00
2025-07-22,BAL,CLE,Orioles at Guardians,12:00 AM,2025-07-22 04:00:00+00:00
2025-07-23,BAL,CLE,Orioles at Guardians,12:00 AM,2025-07-23 04:00:00+00:00
2025-07-24,BAL,CLE,Orioles at Guardians,12:00 AM,2025-07-24 04:00:00+00:00
2025-07-25,COL,BAL,Rockies at Orioles,07:05 PM,2025-07-25 23:05:00+00:00
2025-07-26,COL,BAL,Rockies at Orioles,07:05 PM,2025-07-26 23:05:00+00:00
2025-07-27,COL,BAL,Rockies at Orioles,01:35 PM,2025-07-27 17:35:00+00:00
2025-08-01,BAL,CHC,Orioles at Cubs,02:20 PM,2025-08-01 18:20:00+00:00
2025-08-02,BAL,CHC,Orioles at Cubs,02:20 PM,2025-08-02 18:20:00+00:00
2025-08-03,BAL,CHC,Orioles at Cubs,02:20 PM,2025-08-03 18:20:00+00:00
2025-08-04,BAL,PHI,Orioles at Phillies,06:45 PM,2025-08-04 22:45:00+00:00
2025-08-05,BAL,PHI,Orioles at Phillies,06:45 PM,2025-08-05 22:45:00+00:00
2025-08-06,BAL,PHI,Orioles at Phillies,12:35 PM,2025-08-06 16:35:00+00:00
2025-08-08,ATH,BAL,Athletics at Orioles,07:05 PM,2025-08-08 23:05:00+00:00
2025-08-09,ATH,BAL,Athletics at Orioles,07:05 PM,2025-08-09 23:05:00+00:00
2025-08-10,ATH,BAL,Athletics at Orioles,01:35 PM,2025-08-10 17:35:00+00:00
2025-08-12,SEA,BAL,Mariners at Orioles,06:35 PM,2025-08-12 22:35:00+00:00
2025-08-13,SEA,BAL,Mariners at Orioles,06:35 PM,2025-08-13 22:35:00+00:00
2025-08-14,SEA,BAL,Mariners at Orioles,01:05 PM,2025-08-14 17:05:00+00:00
2025-08-15,BAL,HOU,Orioles at Astros,12:00 AM,2025-08-15 04:00:00+00:00
2025-08-16,BAL,HOU,Orioles at Astros,12:00 AM,2025-08-16 04:00:00+00:00
2025-08-17,BAL,HOU,Orioles at Astros,12:00 AM,2025-08-17 04:00:00+00:00
2025-08-18,BAL,BOS,Orioles at Red Sox,07:10 PM,2025-08-18 23:10:00+00:00
2025-08-19,BAL,BOS,Orioles at Red Sox,07:10 PM,2025-08-19 23:10:00+00:00
2025-08-21,HOU,BAL,Astros at Orioles,07:15 PM,2025-08-21 23:15:00+00:00
