name,pid,team
Ramón Laureano,17128,athletics
Skye Bolt,17723,athletics
Frankie Montas,14309,athletics
Adam Kolarek,10843,athletics
Stephen Piscotty,13367,athletics
James Kaprielian,18331,athletics
Matt Olson,14344,athletics
Trevor Rosenthal,10745,athletics
Mike Fiers,7754,athletics
Daulton Jefferies,19345,athletics
J.B. Wendelken,14506,athletics
Jordan Weems,13190,athletics
Seth Brown,18171,athletics
Chad Pinder,15191,athletics
Tony Kemp,14894,athletics
Burch Smith,12784,athletics
Luis Barrera,sa736690,athletics
Sergio Romo,9817,athletics
Austin Allen,18083,athletics
Cole Irvin,19244,athletics
Lou Trivino,15043,athletics
Elvis Andrus,8709,athletics
Miguel Romero,sa3003109,athletics
Mark Canha,11445,athletics
Sean Murphy,19352,athletics
Sean Manaea,15873,athletics
Yusmeiro Petit,4020,athletics
Nik Turley,5530,athletics
Vimael Machín,17684,athletics
Mitch Moreland,3086,athletics
Ka'ai Tom,sa875069,athletics
Shed Long Jr.,16542,mariners
Evan White,20078,mariners
Justus Sheffield,17285,mariners
Luis Torrens,15905,mariners
Kendall Graveman,15514,mariners
Donovan Walton,19314,mariners
Jake Fraley,19260,mariners
Domingo Tapia,12178,mariners
Ken Giles,12910,mariners
Aaron Fletcher,22052,mariners
Rafael Montero,12760,mariners
Erik Swanson,16587,mariners
Yohan Ramirez,19444,mariners
J.P. Crawford,15491,mariners
James Paxton,11828,mariners
Mitch Haniger,14274,mariners
Chris Flexen,13896,mariners
Brandon Brennan,13527,mariners
Juan Then,sa3002793,mariners
Marco Gonzales,15467,mariners
Ty France,17982,mariners
Kyle Seager,9785,mariners
Will Vest,sa3004101,mariners
Sam Delaplane,sa3004222,mariners
Keynan Middleton,15264,mariners
Braden Bishop,17806,mariners
José Marmolejos,15767,mariners
Kyle Lewis,19508,mariners
Wyatt Mills,sa918372,mariners
Taylor Trammell,sa917943,mariners
Justin Dunn,19268,mariners
Yusei Kikuchi,20633,mariners
Joey Gerber,24591,mariners
Sam Haggerty,18054,mariners
Dylan Moore,18042,mariners
Nick Margevicius,20395,mariners
Casey Sadler,11209,mariners
Anthony Misiewicz,18152,mariners
Tom Murphy,13499,mariners
Ljay Newsome,19942,mariners
Chris Archer,6345,rays
Drew Strotman,sa3004584,rays
Mike Zunino,13265,rays
Cody Reed,15232,rays
Vidal Bruján,sa872786,rays
Shane McClanahan,sa3008547,rays
Austin Meadows,15672,rays
Josh Fleming,20418,rays
Brett Phillips,14735,rays
Nick Anderson,18337,rays
Brendan McKay,20186,rays
Brandon Lowe,18882,rays
Diego Castillo,17496,rays
Yoshi Tsutsugo,27459,rays
Jeffrey Springs,17677,rays
Ji-Man Choi,5452,rays
Mike Brosseau,19683,rays
Randy Arozarena,19290,rays
Taylor Walls,sa915802,rays
Francisco Mejía,16403,rays
Kevin Kiermaier,11038,rays
Josh Lowe,sa917926,rays
Ryan Sherriff,12249,rays
Kevin Padlo,sa828961,rays
Ryan Thompson,16647,rays
Chaz Roe,9866,rays
Joey Wendle,13853,rays
Ryan Yarbrough,16502,rays
Chris Mazza,14151,rays
Rich Hill,4806,rays
Michael Wacha,14078,rays
Tyler Glasnow,14374,rays
Pete Fairbanks,17998,rays
Manuel Margot,14712,rays
Collin McHugh,7531,rays
Brent Honeywell Jr.,sa828706,rays
Yandy Díaz,16578,rays
Willy Adames,15986,rays
Trevor Richards,19309,rays
Luis Patiño,22815,rays
Joe Gatto,sa828693,rangers
Yerry Rodriguez,sa918130,rangers
Willie Calhoun,17838,rangers
Brock Burke,17968,rangers
Jonathan Hernández,17464,rangers
John King,22051,rangers
Mike Foltynewicz,10811,rangers
Brett Martin,17369,rangers
Kolby Allard,18694,rangers
Joely Rodríguez,11487,rangers
Tyler Phillips,sa875646,rangers
Nate Lowe,19566,rangers
Josh Sborz,18323,rangers
Demarcus Evans,21087,rangers
Rougned Odor,12282,rangers
Nick Solak,19294,rangers
A.J. Alexy,sa919115,rangers
Taylor Hearn,18325,rangers
Kyle Gibson,10123,rangers
Brett de Geus,sa3006813,rangers
Khris Davis,9112,rangers
Jonah Heim,16930,rangers
Sam Huff,22209,rangers
Dane Dunning,19409,rangers
Jordan Lyles,7593,rangers
Wes Benjamin,19243,rangers
Anderson Tejeda,19909,rangers
David Garcia,sa3003197,rangers
Sherten Apostel,21794,rangers
Joe Palumbo,17035,rangers
Jose Trevino,16725,rangers
Isiah Kiner-Falefa,16512,rangers
David Dahl,13744,rangers
Leody Taveras,18900,rangers
Ronald Guzmán,14388,rangers
Kyle Cody,19686,rangers
Eli White,19346,rangers
Kohei Arihara,sa3014740,rangers
José Leclerc,14524,rangers
Joey Gallo,14128,rangers
Julian Merryweather,16703,blue-jays
George Springer,12856,blue-jays
Cavan Biggio,19252,blue-jays
Marcus Semien,12533,blue-jays
Ross Stripling,13273,blue-jays
Ryan Borucki,16350,blue-jays
Rafael Dolis,4185,blue-jays
Anthony Kay,20387,blue-jays
Thomas Hatch,19264,blue-jays
Santiago Espinal,19997,blue-jays
Elvis Luciano,20632,blue-jays
Ty Tice,sa3004015,blue-jays
Otto Lopez,sa3004268,blue-jays
Randal Grichuk,10243,blue-jays
Vladimir Guerrero Jr.,19611,blue-jays
Tyler Chatwood,4338,blue-jays
Trent Thornton,17948,blue-jays
T.J. Zeuch,19269,blue-jays
Teoscar Hernández,13066,blue-jays
Travis Bergen,18581,blue-jays
Jordan Romano,16122,blue-jays
Reese McGuire,15674,blue-jays
Gabriel Moreno,sa3003226,blue-jays
Joel Payamps,14332,blue-jays
Riley Adams,sa829749,blue-jays
Kirby Yates,9073,blue-jays
Steven Matz,13361,blue-jays
Rowdy Tellez,15679,blue-jays
Nate Pearson,20160,blue-jays
Breyvic Valera,12758,blue-jays
Danny Jansen,16535,blue-jays
Tanner Roark,8753,blue-jays
Bo Bichette,19612,blue-jays
Hyun Jin Ryu,14444,blue-jays
Jonathan Davis,15104,blue-jays
Josh Palacios,sa829562,blue-jays
Lourdes Gurriel Jr.,19238,blue-jays
David Phelps,6316,blue-jays
Robbie Ray,11486,blue-jays
Alejandro Kirk,22581,blue-jays
Tim Anderson,15172,white-sox
José Ruiz,14552,white-sox
Tyler Johnson,sa915688,white-sox
Yoán Moncada,17232,white-sox
Adam Eaton,11205,white-sox
Adam Engel,15082,white-sox
Jake Burger,sa915698,white-sox
Nick Madrigal,20521,white-sox
Gavin Sheets,sa829797,white-sox
Blake Rutherford,sa917932,white-sox
Eloy Jiménez,17484,white-sox
Yermín Mercedes,17423,white-sox
Lucas Giolito,15474,white-sox
Luis Robert,20043,white-sox
Zack Collins,19181,white-sox
Garrett Crochet,27463,white-sox
Micker Adolfo,sa830303,white-sox
Luis González,20332,white-sox
Jonathan Stiever,24584,white-sox
Jimmy Cordero,15690,white-sox
Dallas Keuchel,9434,white-sox
Evan Marshall,12297,white-sox
Yasmani Grandal,11368,white-sox
Codi Heuer,23293,white-sox
Liam Hendriks,3548,white-sox
Michael Kopech,17282,white-sox
Jimmy Lambert,19541,white-sox
Zack Burdi,19159,white-sox
Carlos Rodón,16137,white-sox
Aaron Bummer,16258,white-sox
Leury García,5913,white-sox
Lance Lynn,2520,white-sox
Bernardo Flores Jr.,19561,white-sox
Jace Fry,16159,white-sox
Matt Foster,19647,white-sox
Seby Zavala,18887,white-sox
José Abreu,15676,white-sox
Dylan Cease,18525,white-sox
Danny Mendick,18889,white-sox
Reynaldo López,16400,white-sox
Adalberto Mondesi,13769,royals
Hunter Dozier,15117,royals
Cam Gallagher,12981,royals
Ronald Bolaños,20041,royals
Josh Staumont,18335,royals
Greg Holland,7196,royals
Scott Barlow,14993,royals
Jake Newberry,15136,royals
Brady Singer,25377,royals
Jarrod Dyson,4866,royals
Brad Keller,15734,royals
Nick Heath,19577,royals
Tyler Zuber,20379,royals
Andrew Benintendi,17901,royals
Jorge Soler,14221,royals
Kelvin Gutierrez,17468,royals
Edward Olivares,19698,royals
Carlos Hernández,22713,royals
Michael A. Taylor,11489,royals
Danny Duffy,3542,royals
Mike Minor,10021,royals
Richard Lovelady,19337,royals
Carlos Santana,2396,royals
Kyle Zimmer,14169,royals
Jakob Junis,13619,royals
Meibrys Viloria,17109,royals
Salvador Perez,7304,royals
Scott Blewett,16427,royals
Kris Bubic,21455,royals
Sebastian Rivero,sa917021,royals
Daniel Tillo,sa876284,royals
Nicky Lopez,19339,royals
Whit Merrifield,11281,royals
Ryan O'Hearn,16442,royals
Jesse Hahn,13287,royals
Lucius Fox,sa914200,royals
Angel Zerpa,sa3002993,royals
Ryan McBroom,16524,royals
Mickey Moniak,19956,phillies
Vince Velasquez,11189,phillies
Nick Maton,sa876186,phillies
Héctor Neris,11804,phillies
Rafael Marchan,21646,phillies
Archie Bradley,12918,phillies
Cristopher Sánchez,sa828749,phillies
J.T. Realmuto,11739,phillies
Damon Jones,sa3004862,phillies
Chase Anderson,6895,phillies
Kyle Dohy,sa3004861,phillies
Andrew McCutchen,9847,phillies
Spencer Howard,23252,phillies
C.J. Chatham,sa873984,phillies
Brad Miller,12775,phillies
Didi Gregorius,6012,phillies
Roman Quinn,13546,phillies
Alec Bohm,21618,phillies
Connor Brogdon,21205,phillies
Rhys Hoskins,16472,phillies
Simon Muzziotti,sa917376,phillies
Mauricio Llovera,20080,phillies
Ramón Rosso,20368,phillies
Andrew Knapp,14942,phillies
Ranger Suárez,17277,phillies
Bryce Harper,11579,phillies
Adam Haseley,19878,phillies
JoJo Romero,19574,phillies
Francisco Morales,sa3004581,phillies
Jean Segura,5933,phillies
Zach Eflin,13774,phillies
Adonis Medina,19903,phillies
Zack Wheeler,10310,phillies
Matt Moore,1890,phillies
David Hale,9756,phillies
Scott Kingery,17975,phillies
José Alvarado,17780,phillies
Aaron Nola,16149,phillies
Bailey Falter,sa875033,phillies
Sam Coonrod,17264,phillies
