"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","playerid"
"Max Muncy","LAD","58","250","206","46","9","1","11","34","36","38","59","3","1","0","",".221",".349",".438",".787",".345","","-0.1","-0.1","","1.3","13301"
"Tyler O'Neill","STL","53","229","205","51","9","1","12","32","34","17","69","4","6","2","",".250",".317",".473",".790",".341","","0.5","0.4","","1.3","15711"
"Oneil Cruz","PIT","49","213","195","49","9","2","10","25","29","15","55","1","8","3","",".253",".308",".471",".779",".335","","-0.3","0.3","","1.3","21711"
"Seiya Suzuki","CHC","52","225","198","54","11","1","9","30","32","23","46","2","4","2","",".276",".355",".482",".837",".359","","-0.1","-0.5","","1.3","30116"
"J.P. Crawford","SEA","59","253","225","59","12","1","4","29","22","23","41","3","2","1","",".260",".332",".378",".710",".315","","-0.6","-0.3","","1.3","15491"
"Isaac Paredes","TBR","47","205","179","43","8","1","8","26","24","22","34","2","1","0","",".243",".330",".431",".761",".333","","1.1","-0.4","","1.3","20036"
"Yasmani Grandal","CHW","44","174","143","32","5","0","7","19","22","28","41","1","0","0","",".226",".356",".402",".758",".338","","0.0","-0.9","","1.3","11368"
"Yandy Díaz","TBR","56","243","208","58","12","0","5","30","24","32","34","2","1","1","",".278",".376",".405",".782",".347","","0.0","-0.7","","1.3","16578"
"Ramón Laureano","OAK","55","237","211","51","12","1","9","30","27","19","61","6","7","3","",".241",".317",".431",".748",".327","","0.5","0.5","","1.3","17128"
"Jonathan India","CIN","53","230","199","50","11","1","7","32","24","22","52","7","4","2","",".252",".346",".423",".769",".339","","0.0","-0.2","","1.2","21523"
"Kyle Schwarber","PHI","56","241","205","47","8","0","16","35","35","31","69","2","2","1","",".227",".332",".497",".829",".355","","-0.9","-0.5","","1.2","16478"
"Jeremy Peña","HOU","54","234","215","54","8","1","9","27","26","13","58","4","4","2","",".250",".300",".428",".728",".316","","0.1","0.0","","1.2","21636"
"Ian Happ","CHC","57","247","213","53","11","1","9","30","32","29","64","2","4","2","",".249",".344",".444",".788",".343","","-0.2","0.0","","1.2","17919"
"Wander Franco","TBR","36","158","143","40","8","2","4","22","19","12","19","1","2","1","",".278",".334",".449",".784",".339","","0.4","0.0","","1.2","23667"
"Gleyber Torres","NYY","50","218","195","51","10","0","8","27","28","19","42","1","4","2","",".263",".332",".446",".778",".338","","-1.1","-0.1","","1.2","16997"
"Luis Urías","MIL","54","231","200","49","9","1","8","28","28","25","49","4","2","1","",".246",".337",".419",".757",".333","","-0.4","-0.3","","1.2","16622"
"Michael Harris II","ATL","53","230","212","55","11","1","6","30","26","13","51","2","8","2","",".258",".306",".417",".722",".313","","2.3","0.8","","1.2","25931"
"Cody Bellinger","LAD","55","236","209","48","10","1","10","31","32","23","59","1","6","1","",".228",".306",".431",".737",".318","","0.1","0.5","","1.2","15998"
"Alek Thomas","ARI","54","232","210","55","11","3","6","28","25","17","47","2","4","2","",".260",".322",".421",".744",".325","","1.0","-0.2","","1.2","23792"
"Gavin Lux","LAD","54","233","206","54","9","3","5","30","27","24","47","1","3","1","",".261",".339",".413",".752",".330","","-0.5","0.1","","1.2","19955"
"Yoán Moncada","CHW","52","224","197","49","11","1","7","27","25","23","59","2","2","1","",".248",".332",".413",".744",".327","","0.4","0.0","","1.2","17232"
"Rhys Hoskins","PHI","58","252","214","50","12","1","12","34","34","32","62","3","1","1","",".235",".340",".472",".812",".352","","0.0","-0.5","","1.2","16472"
"José Abreu","CHW","60","260","231","62","14","0","10","32","38","22","52","5","0","0","",".270",".344",".463",".807",".350","","-0.4","-0.5","","1.2","15676"
"Taylor Ward","LAA","57","246","214","54","11","1","9","33","28","27","61","3","3","1","",".254",".344",".440",".785",".343","","-1.0","0.0","","1.2","17548"
"Mike Yastrzemski","SFG","50","216","189","45","11","1","8","27","26","22","52","3","2","1","",".238",".323",".434",".757",".329","","-0.2","0.0","","1.1","14854"
"Josh Bell","WSN","56","244","212","58","12","1","10","31","36","28","42","2","0","0","",".272",".359",".480",".839",".361","","-1.1","-1.0","","1.1","13145"
"Harrison Bader","STL","40","174","157","39","7","1","5","21","19","13","38","3","6","2","",".249",".316",".411",".728",".317","","2.3","0.6","","1.1","18030"
"Starling Marte","NYM","52","224","204","56","11","1","6","31","24","13","42","5","10","3","",".275",".332",".426",".757",".331","","-0.7","1.0","","1.1","9241"
"Jonah Heim","TEX","41","163","148","36","8","0","5","18","19","12","30","1","1","0","",".246",".302",".404",".706",".309","","0.5","-0.2","","1.1","16930"
"Anthony Rizzo","NYY","52","223","190","47","8","1","10","30","31","23","36","8","3","1","",".246",".351",".462",".813",".353","","0.3","-0.7","","1.1","3473"
"Max Stassi","LAA","43","169","149","32","6","1","5","18","18","16","50","2","0","0","",".217",".302",".375",".677",".300","","0.3","-0.4","","1.1","10059"
"Luis Arraez","MIN","56","241","215","66","11","1","2","31","20","22","22","1","2","1","",".307",".373",".405",".779",".343","","-0.3","-0.2","","1.1","18568"
"Randy Arozarena","TBR","57","246","219","56","12","1","8","32","30","19","63","6","10","4","",".257",".331",".440",".771",".335","","-0.5","-0.2","","1.1","19290"
"Justin Turner","LAD","50","216","190","50","10","0","7","27","29","20","36","4","1","0","",".263",".342",".422",".764",".335","","-0.7","-0.5","","1.1","5235"
"Miguel Rojas","MIA","52","224","205","53","10","1","4","22","20","14","29","2","4","2","",".259",".311",".372",".683",".300","","1.5","-0.1","","1.1","7802"
"Joey Wendle","MIA","50","216","197","53","12","1","4","25","20","12","38","4","5","2","",".267",".319",".397",".716",".312","","0.7","0.2","","1.1","13853"
"Max Kepler","MIN","49","210","182","43","9","1","8","27","26","23","36","3","2","1","",".236",".328",".429",".757",".331","","2.1","0.0","","1.1","12144"
"Danny Jansen","TOR","38","152","134","31","6","0","8","20","22","14","30","2","0","0","",".232",".313",".459",".771",".334","","0.6","-0.2","","1.1","16535"
"Kolten Wong","MIL","49","210","186","48","10","2","5","26","20","16","35","5","6","2","",".258",".331",".406",".737",".324","","0.2","0.3","","1.0","12532"
"Josh Rojas","ARI","51","221","194","49","11","1","5","27","21","23","49","1","6","2","",".254",".333",".399",".732",".322","","-0.4","0.6","","1.0","19734"
"Andrew Benintendi","NYY","50","218","194","54","10","1","5","26","25","20","38","1","3","2","",".276",".345",".419",".763",".335","","0.8","-0.2","","1.0","17901"
"Whit Merrifield","KCR","59","254","234","63","14","1","4","32","23","16","38","2","11","3","",".270",".318",".390",".708",".310","","0.7","1.1","","1.0","11281"
"Riley Greene","DET","49","212","189","49","8","2","7","27","23","19","56","2","4","1","",".258",".328",".427",".756",".330","","-1.3","0.1","","1.0","25976"
"Steven Kwan","CLE","52","225","200","57","10","2","4","28","20","20","23","2","4","2","",".283",".352",".406",".758",".334","","0.2","-0.1","","1.0","24610"
"Trent Grisham","SDP","46","198","171","39","8","1","6","23","22","23","46","2","4","1","",".227",".322",".396",".717",".317","","0.4","0.2","","1.0","18564"
"Javier Báez","DET","54","234","218","53","11","1","9","28","30","11","65","3","5","2","",".243",".286",".429",".715",".308","","-0.3","0.4","","1.0","12979"
"Amed Rosario","CLE","49","211","197","55","9","2","4","26","21","11","37","1","5","2","",".281",".319",".412",".732",".318","","-0.7","0.5","","1.0","15518"
"Josh Donaldson","NYY","43","185","159","37","8","0","8","23","24","22","45","2","1","0","",".234",".334",".430",".764",".335","","0.3","-0.6","","1.0","5038"
"Myles Straw","CLE","50","216","190","48","9","1","1","26","14","22","38","1","9","2","",".254",".333",".329",".662",".299","","2.5","1.2","","1.0","17620"
"Brandon Crawford","SFG","47","202","180","44","9","1","5","22","24","17","41","3","2","1","",".244",".318",".395",".713",".311","","0.1","-0.3","","1.0","5343"
"Mark Canha","NYM","50","216","182","44","8","1","6","27","23","24","46","7","2","1","",".241",".351",".395",".746",".333","","-0.8","-0.2","","1.0","11445"
"Hunter Renfroe","MIL","52","226","205","48","10","0","13","29","34","18","58","1","1","1","",".235",".298",".476",".774",".332","","1.0","-0.5","","1.0","15464"
"Teoscar Hernández","TOR","56","241","220","58","12","1","12","32","38","17","65","2","4","2","",".262",".317",".483",".800",".344","","-1.1","0.0","","1.0","13066"
"Ryan McMahon","COL","51","220","194","48","10","1","8","26","28","23","59","2","2","1","",".246",".329",".428",".757",".331","","1.2","0.0","","1.0","15112"
"Eugenio Suárez","SEA","52","223","195","42","8","0","10","25","29","24","67","3","0","0","",".216",".308",".408",".717",".315","","-0.3","-0.7","","0.9","12552"
"Austin Hays","BAL","55","238","219","56","12","1","9","30","31","13","48","4","2","1","",".258",".309",".449",".757",".328","","1.1","-0.2","","0.9","19363"
"Cal Raleigh","SEA","37","147","133","29","7","0","7","16","20","11","39","1","1","0","",".221",".282",".428",".710",".307","","-0.5","-0.1","","0.9","21534"
"Eduardo Escobar","NYM","54","232","212","49","10","2","9","26","29","17","53","1","1","1","",".234",".291",".421",".713",".308","","-0.5","-0.4","","0.9","6153"
"Jose Trevino","NYY","37","147","138","33","7","0","4","15","16","7","26","1","1","0","",".243",".280",".377",".657",".286","","0.7","-0.3","","0.9","16725"
"Carson Kelly","ARI","39","154","136","32","7","0","5","18","19","15","32","2","0","0","",".235",".318",".408",".726",".318","","-0.2","-0.2","","0.9","13620"
"Kris Bryant","COL","49","212","186","51","12","1","8","30","27","21","43","4","2","1","",".275",".357",".480",".838",".363","","-1.6","0.3","","0.9","15429"
"Leody Taveras","TEX","51","222","200","48","10","1","6","26","23","17","56","1","8","3","",".238",".299",".389",".688",".301","","1.6","0.6","","0.9","18900"
"Giancarlo Stanton","NYY","44","191","168","42","7","0","12","25","33","20","54","1","0","0","",".250",".332",".502",".834",".358","","0.0","-0.5","","0.9","4949"
"Daulton Varsho","ARI","52","221","198","48","10","1","8","28","26","18","49","2","5","2","",".243",".313",".428",".741",".322","","1.3","0.3","","0.9","19918"
"Christian Walker","ARI","57","246","217","52","11","1","11","30","32","25","55","2","1","1","",".238",".321",".443",".764",".332","","1.6","-0.1","","0.9","13419"
"C.J. Cron","COL","55","240","214","57","12","1","12","31","38","20","58","4","0","0","",".266",".338",".500",".838",".359","","0.2","-0.6","","0.9","12546"
"Alex Verdugo","BOS","54","231","211","60","13","1","5","28","26","17","31","1","2","1","",".283",".338",".421",".760",".330","","1.0","0.1","","0.9","17027"
"Jeimer Candelario","DET","49","212","189","46","10","1","6","24","23","19","48","2","0","0","",".242",".319",".413",".732",".321","","-0.5","-0.3","","0.9","13621"
"Patrick Wisdom","CHC","53","228","201","43","9","0","12","28","32","22","80","2","3","1","",".216",".299",".442",".741",".321","","-0.4","-0.1","","0.9","13602"
"Wilmer Flores","SFG","45","196","176","46","10","0","7","24","25","16","28","2","0","0","",".261",".329",".439",".768",".334","","-0.6","-0.5","","0.9","5827"
"Nathaniel Lowe","TEX","57","244","216","57","10","1","9","30","30","25","59","1","2","1","",".264",".342",".442",".784",".342","","-1.3","-0.3","","0.9","19566"
"Nolan Gorman","STL","46","199","182","45","8","0","9","24","25","13","51","1","1","0","",".244",".297",".435",".732",".317","","0.5","0.0","","0.9","22263"
"Travis d'Arnaud","ATL","40","161","147","36","8","0","6","18","21","10","36","2","0","0","",".246",".302",".412",".714",".312","","-0.4","-0.3","","0.9","7739"
"Brendan Rodgers","COL","52","226","208","57","12","1","7","27","28","13","43","3","0","0","",".273",".322",".447",".768",".333","","0.0","-0.2","","0.9","17907"
"Thairo Estrada","SFG","43","185","170","45","9","1","5","23","22","11","32","3","5","1","",".262",".315",".415",".730",".319","","-1.0","0.3","","0.9","16426"
"Keibert Ruiz","WSN","39","155","141","37","8","0","5","16","18","11","18","2","1","0","",".261",".321",".417",".738",".323","","0.3","-0.2","","0.9","19610"
"Vinnie Pasquantino","KCR","48","207","184","49","11","1","8","26","26","19","32","2","1","0","",".266",".338",".469",".807",".348","","0.3","-0.1","","0.9","27676"
"Jesse Winker","SEA","51","220","189","48","10","0","7","26","24","27","39","3","0","0","",".252",".352",".413",".765",".338","","-1.5","-0.8","","0.9","13590"
"Tyrone Taylor","MIL","50","215","196","46","10","1","8","24","28","13","50","3","3","1","",".236",".292",".424",".716",".311","","1.0","0.0","","0.8","13675"
