"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","playerid"
"Tyler Nevin","BAL","21","91","81","19","4","0","3","10","10","8","20","1","0","0","",".231",".308",".377",".685",".303","","0.0","-0.1","","0.2","17893"
"Edmundo Sosa","STL","12","52","47","11","2","1","1","6","5","2","11","2","1","0","",".240",".295",".360",".655",".288","","0.3","-0.1","","0.2","17022"
"Maikel Franco","WSN","51","222","207","48","10","0","7","21","26","12","38","1","0","0","",".234",".277",".381",".658",".285","","-1.1","-0.3","","0.2","12179"
"Lewin Díaz","MIA","15","66","61","14","3","0","3","7","8","4","15","1","0","0","",".234",".285",".432",".717",".308","","0.5","-0.1","","0.2","18365"
"Leury García","CHW","33","144","133","33","6","1","2","15","13","7","31","1","2","1","",".247",".291",".345",".636",".281","","-0.5","0.1","","0.2","5913"
"Jack Suwinski","PIT","20","86","75","16","3","0","4","10","10","9","25","1","1","1","",".217",".304",".414",".718",".313","","0.1","-0.1","","0.2","22244"
"Jake McCarthy","ARI","19","83","75","18","4","1","2","10","8","6","22","1","4","1","",".236",".302",".392",".694",".304","","-0.2","0.3","","0.2","21622"
"Trevor Larnach","MIN","25","108","95","21","5","0","3","11","11","10","35","1","0","0","",".223",".304",".380",".684",".301","","0.4","-0.1","","0.2","21501"
"Sergio Alcántara","ARI","28","119","105","23","3","1","2","12","10","11","30","1","1","1","",".215",".294",".323",".618",".276","","0.6","-0.1","","0.2","16417"
"Francisco Álvarez","NYM","6","25","22","5","1","0","1","3","3","3","7","0","0","0","",".221",".307",".411",".718",".314","","0.0","0.0","","0.2","sa3010862"
"Gabriel Arias","CLE","14","59","54","13","3","0","2","6","6","3","15","1","1","0","",".246",".295",".389",".684",".299","","-0.1","0.0","","0.2","22563"
"Keston Hiura","MIL","23","101","89","20","4","0","4","12","12","8","36","3","2","1","",".225",".308",".416",".724",".317","","-0.2","0.0","","0.2","20003"
"Nelson Velázquez","CHC","18","76","70","16","3","0","3","9","10","4","24","1","2","1","",".230",".281",".420",".701",".301","","0.2","0.1","","0.2","23359"
"Diego Castillo","PIT","24","105","96","23","5","0","3","11","10","7","20","1","1","1","",".234",".290",".383",".673",".294","","-0.2","-0.1","","0.2","19906"
"Jason Delay","PIT","28","111","103","21","4","0","3","10","10","6","31","1","1","0","",".207",".258",".337",".595",".262","","-0.8","-0.1","","0.2","19806"
"Adam Engel","CHW","18","77","71","17","4","0","2","9","7","4","20","1","3","1","",".234",".289",".375",".664",".291","","0.1","0.2","","0.2","15082"
"Michael Papierski","CIN","22","87","75","15","3","0","2","10","7","10","22","1","0","1","",".196",".302",".300",".602",".276","","0.1","-0.2","","0.2","21386"
"Jonathan Davis","MIL","16","71","61","13","2","0","1","8","6","7","19","2","3","1","",".211",".309",".326",".635",".288","","0.1","0.2","","0.2","15104"
"Jonah Bride","OAK","19","82","72","17","3","0","2","9","7","8","16","1","0","0","",".230",".314",".351",".665",".298","","0.3","-0.1","","0.2","24703"
"Patrick Mazeika","NYM","12","46","41","9","2","0","1","5","5","3","8","1","0","0","",".219",".284",".355",".638",".282","","-0.3","0.0","","0.1","18142"
"Steven Duggar","TEX","16","67","61","14","3","1","1","8","7","6","21","0","2","1","",".234",".301",".369",".670",".294","","0.2","0.1","","0.1","17719"
"Shea Langeliers","OAK","6","24","22","5","1","0","1","3","3","2","6","0","0","0","",".229",".298",".423",".721",".313","","0.0","0.0","","0.1","sa3010329"
"Alex Call","CLE","14","59","52","12","2","0","2","7","6","6","12","1","1","0","",".230",".311",".378",".688",".305","","0.3","-0.1","","0.1","19296"
"Austin Wynns","SFG","15","58","52","12","2","0","1","6","6","5","12","0","0","0","",".231",".297",".333",".629",".281","","0.1","0.0","","0.1","15271"
"Cooper Hummel","ARI","13","58","49","11","2","1","1","7","6","8","15","1","1","0","",".222",".334",".379",".713",".318","","-0.1","0.0","","0.1","19458"
"Roman Quinn","TBR","20","88","79","17","3","1","1","10","7","7","28","1","5","2","",".210",".285",".320",".605",".271","","0.2","0.3","","0.1","13546"
"Garrett Hampson","COL","23","98","89","21","4","1","2","12","8","7","24","1","4","1","",".242",".303",".382",".685",".300","","-0.5","0.3","","0.1","19262"
"Seby Zavala","CHW","12","48","43","9","2","0","2","5","5","3","18","0","0","0","",".198",".263",".351",".614",".271","","-0.3","-0.1","","0.1","18887"
"Lars Nootbaar","STL","9","38","34","8","1","0","1","5","4","4","9","0","0","0","",".238",".315",".397",".712",".311","","0.3","0.0","","0.1","21454"
"Terrin Vavra","BAL","8","33","29","7","2","0","1","4","3","4","7","0","0","0","",".246",".335",".369",".704",".314","","0.0","0.0","","0.1","sa3007643"
"Jonathan Araúz","BAL","13","58","52","12","2","0","2","6","6","5","12","0","0","0","",".225",".288",".361",".648",".286","","0.3","0.0","","0.1","20275"
"Stephen Piscotty","OAK","41","177","160","37","8","0","6","18","20","12","45","2","1","0","",".230",".290",".385",".675",".295","","-0.4","0.0","","0.1","13367"
"Tres Barrera","WSN","11","44","39","9","2","0","1","4","4","4","10","1","0","0","",".217",".292",".344",".636",".283","","-0.2","0.0","","0.1","19977"
"Michael Hermosillo","CHC","10","45","39","8","2","0","2","5","5","4","14","2","1","0","",".213",".307",".388",".694",".308","","0.1","0.0","","0.1","16285"
"Jarred Kelenic","SEA","16","71","64","14","3","0","3","8","9","6","19","1","2","1","",".217",".286",".403",".690",".300","","-0.2","0.0","","0.1","22558"
"Yu Chang","TBR","13","55","51","11","2","0","2","6","6","4","17","1","0","0","",".216",".275",".367",".642",".282","","0.1","-0.1","","0.1","14773"
"Gilberto Celestino","MIN","19","80","72","18","4","0","1","9","7","6","18","1","1","0","",".244",".308",".361",".669",".296","","-0.2","-0.1","","0.1","20233"
"Korey Lee","HOU","14","58","53","12","2","0","1","6","6","3","14","0","1","0","",".228",".277",".360",".637",".279","","0.0","0.0","","0.1","25543"
"Willi Castro","DET","17","74","68","17","3","1","1","8","7","4","16","1","2","1","",".248",".294",".378",".671",".293","","-0.2","0.0","","0.1","17338"
"Corey Dickerson","STL","15","65","60","15","3","0","1","7","7","4","12","0","1","0","",".255",".302",".395",".697",".303","","0.0","-0.1","","0.1","10762"
"Darick Hall","PHI","24","102","91","20","5","0","4","13","13","8","27","2","0","0","",".224",".299",".426",".725",".315","","0.0","-0.1","","0.1","19717"
"Jose Siri","HOU","7","30","27","6","1","0","1","4","4","2","10","0","1","0","",".228",".280",".405",".685",".298","","0.2","0.1","","0.1","17452"
"Sheldon Neuse","OAK","25","108","99","23","4","1","2","11","10","7","30","1","1","0","",".237",".290",".361",".652",".287","","-0.1","0.0","","0.1","19635"
"Willians Astudillo","MIA","7","30","29","8","1","0","1","3","3","1","2","1","0","0","",".274",".302",".416",".718",".311","","-0.3","0.0","","0.1","15608"
"Jo Adell","LAA","35","149","137","32","6","1","6","16","20","9","45","2","3","1","",".232",".284",".420",".703",".305","","-1.6","0.0","","0.1","20220"
"Travis Jankowski","NYM","17","75","65","15","2","0","1","9","5","8","15","1","3","1","",".229",".323",".299",".621",".282","","0.0","0.0","","0.1","13768"
"Sam Huff","TEX","14","59","54","12","2","0","2","6","6","4","20","1","0","0","",".224",".276",".390",".666",".289","","0.1","-0.1","","0.1","22209"
"Richie Palacios","CLE","7","31","27","7","2","0","0","4","3","3","6","0","1","0","",".259",".338",".388",".726",".321","","-0.2","0.0","","0.1","24589"
"Wilson Ramos","","8","32","29","8","1","0","1","4","4","2","6","0","0","0","",".260",".312",".415",".727",".317","","-0.2","-0.2","","0.1","1433"
"Kevin Smith","OAK","12","50","46","10","2","0","2","5","5","3","14","0","1","0","",".209",".265",".370",".635",".277","","0.1","0.0","","0.1","20242"
"Phil Gosselin","LAA","20","88","81","19","3","1","1","9","9","6","20","1","1","0","",".239",".297",".350",".647",".287","","-0.2","-0.1","","0.1","10953"
"Jackie Bradley Jr.","BOS","35","152","137","30","8","1","3","15","15","11","38","2","2","1","",".217",".285",".351",".636",".281","","1.4","0.1","","0.1","12984"
"Yoshi Tsutsugo","PIT","40","174","151","33","7","0","5","18","19","20","42","1","0","0","",".219",".311",".376",".687",".305","","-0.2","-0.3","","0.1","27459"
"Jake Burger","CHW","7","30","28","7","1","0","1","3","4","2","8","1","0","0","",".242",".306",".422",".728",".317","","-0.1","0.0","","0.1","22275"
"Pavin Smith","ARI","13","58","52","13","2","0","2","6","6","5","12","0","0","0","",".248",".318",".397",".715",".313","","0.0","-0.1","","0.1","19892"
"Dominic Smith","NYM","15","64","57","14","3","0","2","7","8","4","15","1","0","0","",".243",".306",".390",".697",".306","","-0.1","-0.1","","0.1","15653"
"Cristian Pache","OAK","18","79","73","15","3","0","2","8","7","5","21","0","1","1","",".211",".263",".344",".607",".267","","0.5","-0.1","","0.1","19948"
"Nick Solak","TEX","8","37","33","8","1","0","1","4","4","3","8","1","1","0","",".253",".321",".392",".713",".315","","-0.2","0.0","","0.1","19294"
"Christian Arroyo","BOS","10","44","40","10","2","0","1","5","5","2","9","1","1","0","",".247",".302",".410",".712",".311","","-0.1","0.0","","0.1","16434"
"Gabriel Moreno","TOR","4","15","14","4","1","0","0","2","2","1","3","0","0","0","",".261",".311",".407",".719",".314","","0.1","0.0","","0.1","22664"
"Kody Clemens","DET","11","46","42","9","2","1","2","5","5","3","11","0","0","0","",".224",".279",".402",".681",".295","","0.0","0.0","","0.1","20572"
"Kyle Stowers","BAL","7","30","27","6","1","0","1","4","4","3","10","0","0","0","",".234",".308",".433",".741",".322","","-0.1","0.0","","0.1","26151"
"Will Benson","CLE","4","17","14","3","1","0","1","2","2","2","5","0","0","0","",".215",".330",".405",".735",".324","","0.0","0.0","","0.1","sa917927"
"Jake Lamb","LAD","20","87","76","16","3","0","3","10","10","9","25","1","0","0","",".206",".300",".376",".676",".300","","-0.3","-0.2","","0.1","13329"
"Iván Herrera","STL","6","25","22","5","1","0","1","3","3","2","6","0","0","0","",".215",".293",".345",".638",".285","","-0.1","0.0","","0.1","20599"
"Trayce Thompson","LAD","10","45","40","8","2","0","2","5","6","4","16","0","1","0","",".209",".286",".414",".700",".304","","-0.1","0.0","","0.1","9952"
"Jonathan Aranda","TBR","4","17","15","4","1","0","0","2","2","1","4","0","0","0","",".253",".321",".397",".718",".316","","0.0","0.0","","0.1","21837"
"Tucupita Marcano","PIT","8","36","32","8","1","0","1","4","3","3","6","0","1","0","",".235",".309",".333",".642",".287","","0.2","0.0","","0.1","22871"
"Jason Heyward","CHC","8","34","30","7","1","0","1","4","3","3","7","0","0","0","",".236",".311",".368",".679",".300","","0.2","0.0","","0.1","4940"
"Yairo Muñoz","PHI","5","22","21","6","1","0","1","2","2","1","4","0","1","0","",".269",".307",".413",".720",".313","","0.0","0.0","","0.1","16313"
"Harold Castro","DET","36","155","146","40","6","1","2","15","14","6","31","1","1","1","",".271",".302",".369",".671",".294","","-1.0","-0.2","","0.1","14691"
"Mitch Moreland","","16","70","63","15","3","0","3","8","9","6","16","1","0","0","",".234",".300",".422",".721",".313","","0.0","-0.3","","0.1","3086"
"Jake Fraley","CIN","6","28","24","6","1","0","1","3","4","3","8","0","1","0","",".230",".325",".415",".740",".325","","-0.2","0.0","","0.1","19260"
"Donovan Walton","SFG","4","17","15","4","1","0","0","2","2","1","3","0","0","0","",".248",".316",".388",".703",".310","","-0.1","0.0","","0.1","19314"
"Drew Waters","KCR","13","58","53","12","3","1","1","6","6","4","17","1","2","1","",".236",".297",".379",".676",".297","","0.0","0.0","","0.1","sa3004378"
"Yolmer Sánchez","BOS","9","38","34","8","2","0","1","4","3","3","9","0","0","0","",".232",".307",".346",".653",".291","","0.1","0.0","","0.1","11602"
"J.J. Matijevic","HOU","9","38","34","8","2","0","2","4","5","3","12","0","1","0","",".221",".286",".428",".714",".309","","0.0","0.0","","0.1","20165"
"Pedro Severino","MIL","12","48","43","10","2","0","1","4","5","4","12","0","0","0","",".232",".300",".366",".665",".294","","-0.3","-0.1","","0.1","14523"
"Zack Short","DET","4","19","16","3","1","0","1","2","2","2","6","0","0","0","",".201",".306",".360",".666",".297","","0.0","0.0","","0.1","19562"
"Elehuris Montero","COL","6","25","22","6","1","0","1","3","3","2","6","0","0","0","",".259",".318",".450",".768",".333","","0.0","0.0","","0.1","20543"
"Aristides Aquino","CIN","8","37","33","7","1","0","2","4","5","3","12","0","1","0","",".210",".284",".426",".710",".307","","0.2","0.0","","0.1","15482"
"Pablo Reyes","MIL","4","19","17","4","1","0","0","2","2","1","4","0","0","0","",".238",".301",".383",".684",".300","","0.1","0.0","","0.1","16357"
"Vidal Bruján","TBR","6","28","25","6","1","0","0","3","3","2","5","0","2","1","",".225",".289",".344",".633",".281","","0.1","0.1","","0.1","20536"
"Albert Pujols","STL","16","71","65","16","2","0","3","7","10","5","11","1","0","0","",".242",".299",".412",".711",".308","","0.0","-0.2","","0.1","1177"
"Luis Campusano","SDP","3","12","11","3","1","0","0","1","1","1","3","0","0","0","",".238",".301",".392",".693",".304","","-0.1","0.0","","0.1","22217"
"Dillon Thomas","LAA","8","33","29","7","1","0","1","4","3","3","11","1","1","0","",".225",".303",".368",".670",".297","","0.2","0.0","","0.1","12719"
"Ben Rortvedt","NYY","3","12","11","2","0","0","0","1","1","1","4","0","0","0","",".206",".278",".357",".635",".281","","0.0","0.0","","0.1","20287"
"Tim Locastro","NYY","5","22","19","4","1","0","0","3","2","1","5","1","1","0","",".234",".317",".365",".682",".305","","-0.1","0.1","","0.1","15124"
"Alfonso Rivas","CHC","31","132","116","28","5","0","2","14","12","13","35","2","1","0","",".238",".321",".347",".668",".298","","0.1","-0.2","","0.1","21560"
"Jason Castro","HOU","6","22","19","4","1","0","1","2","2","3","8","0","0","0","",".189",".291",".336",".627",".282","","-0.1","-0.1","","0.1","8722"
"Luke Williams","MIA","8","33","30","7","1","0","0","3","3","3","8","0","1","1","",".221",".289",".325",".614",".273","","0.2","0.0","","0.1","19931"
"Seth Beer","ARI","7","30","27","7","1","0","1","3","3","2","7","1","0","0","",".245",".333",".408",".741",".326","","0.0","-0.1","","0.1","20493"
"Marwin Gonzalez","NYY","7","30","27","6","1","0","1","3","3","2","7","0","0","0","",".229",".294",".360",".654",".289","","0.0","0.0","","0.1","5497"
"Lenyn Sosa","CHW","13","55","52","12","2","0","1","6","5","2","12","0","0","0","",".236",".268",".355",".622",".272","","0.2","-0.1","","0.1","22896"
"Zach McKinstry","LAD","5","20","18","4","1","0","1","2","2","2","5","0","0","0","",".238",".304",".406",".709",".309","","0.0","0.0","","0.0","19392"
"Yermín Mercedes","SFG","6","24","22","6","1","0","1","3","3","2","5","0","0","0","",".249",".310",".394",".704",".309","","-0.1","0.0","","0.0","17423"
"Mickey Moniak","PHI","15","64","58","12","2","1","2","7","7","4","18","0","1","0","",".215",".270",".377",".647",".280","","-0.1","0.0","","0.0","19956"
"Rylan Bannon","BAL","4","19","17","4","1","0","1","2","2","2","5","0","0","0","",".209",".295",".381",".676",".298","","0.0","0.0","","0.0","19768"
"Alan Trejo","COL","8","35","33","8","2","0","1","4","4","2","8","0","0","0","",".238",".278",".397",".675",".292","","0.2","-0.1","","0.0","20056"
"Jeter Downs","BOS","13","57","51","11","2","0","2","6","6","4","17","1","2","1","",".205",".272",".365",".637",".280","","-0.1","0.1","","0.0","22202"
"Ryan McKenna","BAL","8","33","29","6","1","0","1","4","3","3","11","0","1","0","",".218",".299",".359",".659",".292","","0.2","0.0","","0.0","19928"
"Travis Swaggerty","PIT","7","30","27","6","1","0","1","3","3","3","8","0","1","0","",".233",".299",".360",".659",".292","","0.1","0.0","","0.0","24491"
"Riley Adams","WSN","15","59","51","11","2","0","2","6","6","6","19","1","0","0","",".210",".304",".363",".667",".298","","-0.3","-0.1","","0.0","19864"
"David MacKinnon","LAA","6","28","24","6","1","0","1","3","3","3","6","0","0","0","",".242",".330",".390",".721",".318","","0.0","0.0","","0.0","19625"
"Cal Mitchell","PIT","27","116","108","26","5","0","3","13","13","6","24","1","1","1","",".245",".290",".384",".673",".294","","-0.6","-0.1","","0.0","22169"
"TJ Friedl","CIN","5","22","20","5","1","0","1","3","2","2","4","0","1","0","",".240",".317",".380",".697",".308","","-0.1","0.0","","0.0","19522"
"Josh Palacios","WSN","4","16","14","4","1","0","0","2","2","1","3","0","1","0","",".254",".326",".387",".713",".316","","-0.1","0.0","","0.0","19818"
"Bligh Madris","PIT","23","100","90","21","5","0","2","11","10","8","22","1","1","1","",".236",".300",".372",".673",".296","","0.1","-0.2","","0.0","20054"
"Dom Nuñez","COL","4","17","15","3","1","0","1","2","2","2","5","0","0","0","",".201",".300",".380",".679",".298","","-0.1","0.0","","0.0","15055"
"Ehire Adrianza","WSN","22","94","84","19","4","1","1","10","9","8","20","1","1","0","",".232",".304",".344",".647",".288","","-0.6","-0.1","","0.0","8418"
"Sam Haggerty","SEA","6","25","22","5","1","0","0","3","2","2","7","0","1","0","",".222",".298",".347",".645",".287","","0.0","0.1","","0.0","18054"
"Carter Bins","PIT","6","25","22","4","1","0","1","2","2","2","8","0","0","0","",".189",".275",".310",".584",".264","","0.0","0.0","","0.0","sa1115884"
"Andy Ibáñez","TEX","3","14","13","3","1","0","0","2","1","1","2","0","0","0","",".256",".309",".398",".707",".309","","0.0","0.0","","0.0","18819"
"Austin Allen","OAK","2","7","7","2","0","0","0","1","1","0","2","0","0","0","",".238",".287",".418",".705",".305","","0.0","0.0","","0.0","18083"
"Austin Romine","STL","8","30","28","6","1","0","1","3","3","1","8","0","0","0","",".231",".267",".341",".608",".267","","-0.1","-0.1","","0.0","5491"
"Michael Massey","KCR","3","11","10","3","1","0","0","1","1","1","2","0","0","0","",".257",".302",".414",".717",".312","","0.0","0.0","","0.0","27684"
"Jaylin Davis","BOS","4","19","17","4","1","0","1","2","2","2","6","0","0","0","",".231",".303",".414",".718",".313","","0.0","0.0","","0.0","19552"
"Taylor Trammell","SEA","4","19","17","3","1","0","1","2","2","2","6","0","0","0","",".208",".296",".366",".662",".294","","0.1","0.0","","0.0","19960"
"Mark Kolozsvary","CIN","6","26","23","4","1","0","1","3","2","2","9","1","0","0","",".184",".270",".326",".596",".268","","0.2","0.0","","0.0","21304"
"Ryan O'Hearn","KCR","11","47","42","10","2","0","2","5","6","4","12","0","0","0","",".225",".294",".401",".695",".303","","0.0","-0.1","","0.0","16442"
"Connor Wong","BOS","3","10","9","2","0","0","0","1","1","1","3","0","0","0","",".238",".285",".406",".691",".300","","0.0","0.0","","0.0","19896"
"Eli White","TEX","4","17","15","3","1","0","0","2","1","1","5","0","1","0","",".210",".286",".338",".624",".278","","0.1","0.0","","0.0","19346"
"Albert Almora Jr.","CIN","25","107","99","24","4","0","3","11","11","5","20","1","1","1","",".243",".282",".378",".661",".287","","0.4","-0.3","","0.0","14109"
"P.J. Higgins","CHC","4","16","14","3","1","0","0","2","2","1","3","0","0","0","",".236",".311",".361",".671",".299","","0.0","0.0","","0.0","18433"
"Max Schrock","CIN","8","37","34","8","2","0","1","4","4","2","7","0","0","0","",".247",".299",".377",".676",".296","","0.0","0.0","","0.0","17750"
"Michael Perez","NYM","3","13","11","2","0","0","0","1","1","1","3","0","0","0","",".195",".267",".346",".613",".271","","0.1","0.0","","0.0","12977"
"Eric Sogard","","8","35","32","8","2","0","0","3","3","2","6","0","0","0","",".240",".297",".340",".637",".282","","-0.2","-0.1","","0.0","7927"
"Jake Hager","ARI","4","19","17","4","1","0","0","2","2","2","5","0","0","0","",".217",".283",".345",".628",".278","","0.1","0.0","","0.0","12198"
"Bradley Zimmer","TOR","7","30","27","5","1","0","1","4","3","2","11","1","1","0","",".204",".296",".328",".624",".282","","0.1","0.1","","0.0","16221"
"Charlie Culberson","TEX","12","51","47","11","2","0","1","5","5","3","12","0","1","0","",".241",".287",".360",".647",".283","","-0.4","0.0","","0.0","3298"
"Rodolfo Castro","PIT","3","11","10","2","0","0","0","1","1","1","3","0","0","0","",".218",".274",".387",".660",".288","","0.0","0.0","","0.0","21987"
"Payton Henry","MIA","3","10","9","2","0","0","0","1","1","1","3","0","0","0","",".206",".278",".320",".598",".267","","0.0","0.0","","0.0","22164"
"Jose Barrero","CIN","4","17","15","3","1","0","1","2","2","1","5","0","0","0","",".220",".276",".373",".650",".285","","0.0","0.0","","0.0","23378"
"Otto Lopez","TOR","3","14","13","3","1","0","0","2","1","1","3","0","0","0","",".248",".305",".357",".661",".292","","0.0","0.0","","0.0","19608"
"Conner Capel","STL","3","11","10","2","0","0","0","1","1","1","2","0","0","0","",".231",".292",".374",".666",".292","","0.1","0.0","","0.0","19983"
"Edwin Ríos","LAD","8","34","31","7","1","0","2","4","5","2","12","0","0","0","",".215",".280",".432",".713",".307","","0.0","-0.1","","0.0","18316"
"Luis Barrera","OAK","4","18","17","4","1","0","0","2","2","1","4","0","0","0","",".232",".289",".343",".632",".280","","0.1","0.0","","0.0","19615"
"Nate Eaton","KCR","14","61","56","13","3","0","1","6","6","4","15","1","2","0","",".228",".284",".352",".636",".281","","0.2","0.1","","0.0","25055"
"Jake Marisnick","PIT","3","14","13","3","1","0","0","2","1","1","4","0","0","0","",".225",".281",".380",".660",".288","","0.1","0.0","","0.0","11339"
"Khris Davis","","8","35","31","7","1","0","2","4","5","3","10","0","0","0","",".224",".291",".427",".718",".311","","0.0","-0.1","","0.0","9112"
"Mark Mathias","MIL","2","8","7","2","0","0","0","1","1","1","2","0","0","0","",".231",".307",".370",".676",".299","","0.0","0.0","","0.0","18032"
"Oswald Peraza","NYY","1","5","5","1","0","0","0","1","1","0","1","0","0","0","",".243",".297",".390",".688",".301","","0.0","0.0","","0.0","sa3003305"
"Dustin Garneau","DET","2","7","7","1","0","0","0","1","1","1","2","0","0","0","",".202",".277",".377",".654",".288","","0.0","0.0","","0.0","9433"
"Franchy Cordero","BOS","10","44","39","9","3","0","1","5","5","4","14","0","1","0","",".235",".307",".399",".705",".309","","-0.3","0.1","","0.0","14567"
"Matt Beaty","SDP","3","13","12","3","1","0","0","2","2","1","2","0","0","0","",".243",".315",".378",".693",".306","","-0.1","0.0","","0.0","17710"
"Brewer Hicklen","KCR","4","17","15","3","1","0","0","2","2","1","6","0","1","0","",".213",".286",".366",".652",".288","","0.1","0.1","","0.0","20450"
"Stuart Fairchild","CIN","5","20","17","4","1","0","1","2","2","2","6","0","0","0","",".216",".293",".377",".670",".295","","0.0","0.0","","0.0","20321"
"Cole Tucker","ARI","3","14","12","3","1","0","0","1","1","1","4","0","0","0","",".216",".286",".332",".618",".275","","0.0","0.0","","0.0","17326"
"Robinson Canó","ATL","21","91","85","21","4","0","2","9","9","5","17","1","0","0","",".248",".291",".376",".667",".291","","-0.4","-0.2","","0.0","3269"
"Shed Long Jr.","BAL","2","8","7","2","0","0","0","1","1","1","2","0","0","0","",".225",".295",".369",".664",".293","","0.0","0.0","","0.0","16542"
"Travis Demeritte","ATL","2","11","10","2","0","0","0","1","1","1","4","0","0","0","",".221",".297",".410",".707",".308","","0.0","0.0","","0.0","15958"
"Ernie Clement","CLE","7","28","26","6","1","0","0","3","2","2","4","0","0","0","",".241",".294",".323",".617",".275","","0.1","0.0","","0.0","20352"
"Matthew Batten","SDP","2","8","7","2","0","0","0","1","1","1","2","0","0","0","",".232",".300",".327",".627",".281","","0.0","0.0","","0.0","20157"
"Niko Goodrum","HOU","3","11","10","2","0","0","0","1","1","1","4","0","0","0","",".207",".283",".345",".628",".279","","0.0","0.0","","0.0","12092"
"Matt Thaiss","LAA","1","5","5","1","0","0","0","1","1","1","1","0","0","0","",".225",".312",".386",".698",".308","","0.0","0.0","","0.0","19318"
"Kevin Padlo","SEA","1","5","5","1","0","0","0","1","1","0","2","0","0","0","",".204",".280",".374",".654",".288","","0.0","0.0","","0.0","16593"
"Adam Haseley","CHW","3","11","10","2","0","0","0","1","1","1","2","0","0","0","",".238",".299",".375",".674",".297","","0.0","0.0","","0.0","19878"
"Sean Bouchard","COL","6","27","25","6","1","0","1","3","3","2","7","0","0","0","",".238",".299",".412",".712",".310","","-0.1","0.0","","0.0","21270"
"Donny Sands","PHI","1","3","2","1","0","0","0","0","0","0","1","0","0","0","",".241",".317",".391",".708",".312","","0.0","0.0","","0.0","sa875201"
"Brian Goodwin","","6","28","25","6","1","0","1","3","3","3","7","0","0","0","",".225",".301",".375",".675",".298","","-0.2","-0.1","","0.0","12858"
"Maikel Garcia","KCR","1","6","5","1","0","0","0","1","0","0","1","0","0","0","",".244",".304",".338",".642",".286","","0.0","0.0","","0.0","22715"
"Eddy Alvarez","LAD","1","6","5","1","0","0","0","1","1","0","1","0","0","0","",".228",".305",".363",".669",".296","","-0.1","0.0","","0.0","16959"
"Mike Ford","ATL","4","16","14","3","1","0","1","2","2","2","4","0","0","0","",".219",".310",".396",".706",".310","","0.0","0.0","","0.0","15585"
"Derek Hill","DET","3","14","12","3","0","0","0","1","1","1","4","0","0","0","",".230",".282",".342",".624",".276","","0.0","0.0","","0.0","16947"
"Alcides Escobar","WSN","25","107","99","23","5","1","1","11","9","5","21","1","1","0","",".235",".281",".332",".613",".271","","-0.8","0.1","","0.0","6310"
"Miguel Andújar","NYY","1","5","5","1","0","0","0","1","1","0","1","0","0","0","",".266",".303",".436",".738",".319","","-0.1","0.0","","0.0","15878"
"Chad Wallach","LAA","3","10","9","2","0","0","0","1","1","1","3","0","0","0","",".190",".273",".332",".605",".270","","-0.1","0.0","","0.0","17161"
"Jason Vosler","SFG","1","3","2","1","0","0","0","0","0","0","1","0","0","0","",".231",".307",".408",".715",".312","","0.0","0.0","","0.0","16686"
"Brent Rooker","SDP","1","5","5","1","0","0","0","1","1","1","2","0","0","0","",".211",".302",".421",".724",".315","","0.0","0.0","","0.0","19627"
"Nick Maton","PHI","1","6","5","1","0","0","0","1","1","1","1","0","0","0","",".218",".298",".352",".650",".289","","0.0","0.0","","0.0","21635"
"Zack Collins","TOR","6","27","23","5","1","0","1","3","3","3","9","0","0","0","",".202",".310",".370",".680",".303","","-0.1","0.0","","0.0","19181"
"Narciso Crook","CHC","1","6","5","1","0","0","0","1","1","0","2","0","0","0","",".225",".294",".399",".693",".303","","0.0","0.0","","0.0","17473"
"Ryan Kreidler","DET","1","3","2","1","0","0","0","0","0","0","1","0","0","0","",".230",".300",".385",".686",".302","","0.0","0.0","","0.0","sa3010587"
"Anthony Bemboom","BAL","1","5","4","1","0","0","0","1","0","0","1","0","0","0","",".197",".272",".324",".596",".267","","0.0","0.0","","0.0","13854"
"Hoy Park","PIT","1","3","2","1","0","0","0","0","0","0","1","0","0","0","",".232",".332",".365",".697",".310","","0.0","0.0","","0.0","18027"
"Alejo Lopez","CIN","1","3","3","1","0","0","0","0","0","0","0","0","0","0","",".268",".332",".358",".690",".307","","0.0","0.0","","0.0","21127"
"Jared Young","CHC","3","14","13","3","1","0","0","2","2","1","3","0","0","0","",".237",".295",".395",".691",".301","","0.0","0.0","","0.0","sa3004937"
"Alex Dickerson","ATL","1","5","5","1","0","0","0","1","1","0","1","0","0","0","",".241",".305",".420",".725",".315","","0.0","0.0","","0.0","12649"
"Rafael Marchan","PHI","2","8","7","2","0","0","0","1","1","1","1","0","0","0","",".225",".290",".331",".621",".277","","0.0","0.0","","0.0","21646"
"Canaan Smith-Njigba","PIT","1","3","2","1","0","0","0","0","0","0","1","0","0","0","",".235",".325",".368",".693",".308","","0.0","0.0","","0.0","23264"
"Chadwick Tromp","ATL","1","2","2","1","0","0","0","0","0","0","1","0","0","0","",".226",".272",".366",".638",".280","","0.0","0.0","","0.0","16953"
"Alex Jackson","MIL","1","2","2","0","0","0","0","0","0","0","1","0","0","0","",".189",".270",".381",".651",".285","","0.0","0.0","","0.0","17276"
